row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I.,I.,I.,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,7.447.536.474.048,5.219.098.972.522,,1.0,7447536474048.0,5219098972522.0
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,
,,,Khấu hao tài sản cố định,02,3.951.596.741.226,4.156.318.017.690,,2.0,3951596741226.0,4156318017690.0
,,,Các khoản dự phòng,03,(120.883.121),(843.819.479),,3.0,-120883121.0,-843819479.0
,,,Chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,638.238.848.257,489.588.948.149,,4.0,638238848257.0,489588948149.0
,,,Lãi từ hoạt động đầu tư,05,(1.574.931.917.324),(1.278.733.180.181),,5.0,-1574931917324.0,-1278733180181.0
,,,Chi phí lãi vay,06,95.084.582.355,96.059.178.215,,6.0,95084582355.0,96059178215.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,10.557.403.845.441,8.681.488.116.916,,8.0,10557403845441.0,8681488116916.0
,,,Thay đổi các khoản phải thu,09,(178.126.827.342),(3.011.542.718.848),,9.0,-178126827342.0,-3011542718848.0
,,,Thay đổi hàng tồn kho,10,(62.018.122.394),31.083.391.489,,10.0,-62018122394.0,31083391489.0
,,,Thay đổi các khoản phải trả,11,371.350.003.927,1.938.673.576.321,,11.0,371350003927.0,1938673576321.0
,,,Thay đổi chi phí trả trước,12,(23.334.839.719),8.439.867.895,,12.0,-23334839719.0,8439867895.0
,,,Tiền lãi vay đã trả,14,(95.942.288.441),(95.306.541.848),,14.0,-95942288441.0,-95306541848.0
,,,Thuế thu nhập doanh nghiệp đã nộp,15,(2.020.000.000.000),(1.306.185.984.483),,15.0,-2020000000000.0,-1306185984483.0
,,,Tiền chi khác cho hoạt động kinh doanh,17,(647.542.831.332),(2.047.682.329.355),,17.0,-647542831332.0,-2047682329355.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,7.901.788.940.140,4.198.967.378.087,,20.0,7901788940140.0,4198967378087.0
II.,II.,II.,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng tài sản cố định",21,(2.018.938.692.238),(1.364.822.519.753),,21.0,-2018938692238.0,-1364822519753.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán tài sản cố định",22,724.792.610,21.540.171.005,,22.0,724792610.0,21540171005.0
3.,II. > 3.,3.,Tiền chi mua công cụ nợ của đơn vị khác,23,(9.800.000.000.000),(12.408.000.000.000),,23.0,-9800000000000.0,-12408000000000.0
4.,II. > 4.,4.,Tiền thu bán lại công cụ nợ của đơn vị khác,24,3.653.000.000.000,8.423.000.000.000,,24.0,3653000000000.0,8423000000000.0
5.,II. > 5.,5.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,-,42.771.360.000,,26.0,,42771360000.0
6.,II. > 6.,6.,"Tiền thu lãi tiền gửi, cổ tức và lợi nhuận được chia",27,1.458.807.033.356,1.140.226.846.693,,27.0,1458807033356.0,1140226846693.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(6.706.406.866.272),(4.145.284.142.055),,30.0,-6706406866272.0,-4145284142055.0
