row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2023VND,01/01/2023VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023VND,numeric__01/01/2023VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,7.419.343.526.982,7.488.110.747.330,300.0,,7419343526982.0,7488110747330.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,4.248.550.405.734,3.611.545.162.306,310.0,,4248550405734.0,3611545162306.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,14,1.110.982.504.038,1.346.264.686.192,311.0,14.0,1110982504038.0,1346264686192.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,17,122.874.837.052,51.474.842.755,312.0,17.0,122874837052.0,51474842755.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,15,1.576.710.308,40.564.503.343,313.0,15.0,1576710308.0,40564503343.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,20.102.140.937,16.957.435.574,314.0,,20102140937.0,16957435574.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,18,377.131.464.292,395.997.782.629,315.0,18.0,377131464292.0,395997782629.0
Phải trả nội bộ ngắn hạn,Phải trả nội bộ ngắn hạn,Phải trả nội bộ ngắn hạn,316,,-,-,316.0,,,
Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,-,-,317.0,,,
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,19,43.640.372.768,31.403.942.179,318.0,19.0,43640372768.0,31403942179.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,20,770.735.605.567,441.016.649.205,319.0,20.0,770735605567.0,441016649205.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,16,1.789.590.960.334,1.285.939.228.744,320.0,16.0,1789590960334.0,1285939228744.0
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,,-,-,321.0,,,
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,21,11.915.810.438,1.926.091.685,322.0,21.0,11915810438.0,1926091685.0
Quỹ bình ổn giá,Quỹ bình ổn giá,Quỹ bình ổn giá,323,,-,-,323.0,,,
Giao dịch mua bán lại trái phiếu Chính phủ,Giao dịch mua bán lại trái phiếu Chính phủ,Giao dịch mua bán lại trái phiếu Chính phủ,324,,-,-,324.0,,,
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,3.170.793.121.248,3.876.565.585.024,330.0,,3170793121248.0,3876565585024.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,14,906.055.404.849,1.063.526.544.282,331.0,14.0,906055404849.0,1063526544282.0
Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,332,,-,-,332.0,,,
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,,-,-,333.0,,,
Phải trả nội bộ về vốn kinh doanh,Phải trả nội bộ về vốn kinh doanh,Phải trả nội bộ về vốn kinh doanh,334,,-,-,334.0,,,
Phải trả nội bộ dài hạn,Phải trả nội bộ dài hạn,Phải trả nội bộ dài hạn,335,,-,-,335.0,,,
Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,336,19,136.784.124.432,140.619.193.340,336.0,19.0,136784124432.0,140619193340.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,20,72.947.309.442,581.966.607.950,337.0,20.0,72947309442.0,581966607950.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,16,2.055.006.282.525,2.090.453.239.452,338.0,16.0,2055006282525.0,2090453239452.0
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,339,,-,-,339.0,,,
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,340,,-,-,340.0,,,
Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,341,,-,-,341.0,,,
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,,-,-,342.0,,,
Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,343,,-,-,343.0,,,
