row_label_raw,row_label_full,"TỔNG CỔNG TY SỔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân NamQuận Thanh Xuân, Thành phố Hà Nội > THUYẾT MINH BẢO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)‘Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)","TỔNG CỔNG TY SỔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân NamQuận Thanh Xuân, Thành phố Hà Nội > THUYẾT MINH BẢO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)‘Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)_1","TỔNG CỔNG TY SỔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân NamQuận Thanh Xuân, Thành phố Hà Nội > THUYẾT MINH BẢO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)‘Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)_2","TỔNG CỔNG TY SỔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân NamQuận Thanh Xuân, Thành phố Hà Nội > THUYẾT MINH BẢO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)‘Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)_3",Mẫu số B09-DNBan hành theo thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BẢO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)‘Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo),"numeric__TỔNG CỔNG TY SỔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân NamQuận Thanh Xuân, Thành phố Hà Nội > THUYẾT MINH BẢO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)‘Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)_1","numeric__TỔNG CỔNG TY SỔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân NamQuận Thanh Xuân, Thành phố Hà Nội > THUYẾT MINH BẢO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)‘Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)_2","numeric__TỔNG CỔNG TY SỔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân NamQuận Thanh Xuân, Thành phố Hà Nội > THUYẾT MINH BẢO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)‘Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)_3",numeric__Mẫu số B09-DNBan hành theo thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BẢO CẢO TÀI CHÍNH TỔNG HỢP (TIẾP)‘Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp kèm theo)
KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,Lĩnh vực xây lắpVND,Lĩnh vực thủy điệnVND,KhácVND,Tổng cộngVND,,,,
Năm 2022Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,KẾT QUẢ KINH DOANH > Năm 2022Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Năm 2022Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,139.772.784.857,343.329.069.058,134.472.984.331,617.574.838.246,139772784857.0,343329069058.0,134472984331.0,617574838246.0
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,KẾT QUẢ KINH DOANH > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,139.772.784.857,343.329.069.058,134.472.984.331,617.574.838.246,139772784857.0,343329069058.0,134472984331.0,617574838246.0
Kết quả kinh doanh theo bộ phận,KẾT QUẢ KINH DOANH > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,(8.984.868.654),-,55.006.386.368,46.021.517.714(2.037.457.548.067)(1.991.436.030.353),-8984868654.0,,55006386368.0,
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,3.792.764.337.957(322.322.838.353),,,,
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,758.503.368(65.237.836.625),,,,
Doanh thu hoạt động tài chính,Lợi nhuận từ hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,(201.952.237.413),,,,-201952237413.0
Chi phí tài chính,Lợi nhuận từ hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,8.056.358.883,,,,8056358883.0
Thu nhập khác,Lợi nhuận từ hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,1.220.630.257.464,,,,1220630257464.0
Chi phí khác,Lợi nhuận từ hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,79.314.291,,,,79314291.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,,,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,,
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Lợi nhuận sau thuế TNDN > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,-,-,79.314.291,79.314.291,,,79314291.0,79314291.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Lợi nhuận sau thuế TNDN > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,2.837.394.652,-,84.817.422.559,87.654.817.211,2837394652.0,,84817422559.0,87654817211.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,Lĩnh vực xây lắpVND,Lĩnh vực thủy điệnVND,KhácVND,Tổng cộngVND,,,,
Số tại 31/12/2022Tài sản trực tiếp của bộ phận,TÀI SẢN > Số tại 31/12/2022Tài sản trực tiếp của bộ phận,Số tại 31/12/2022Tài sản trực tiếp của bộ phận,960.849.970.132,53.531.533.656,769.298.784.913,1.783.680.288.70111.436.326.180.006,960849970132.0,53531533656.0,769298784913.0,1.7836802887011144e+26
Các tài sản không phân bổ theo bộ phận,TÀI SẢN > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,13.220.006.468.707,,,,13220006468707.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,,
Nợ phải trả trực tiếp của bộ phận,Tổng tài sản > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,6.201.921.440.093,749.441.859.276,203.944.280.446,7.155.307.579.815332.803.167.515,6201921440093.0,749441859276.0,203944280446.0,7.155307579815333e+24
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,,
Tổng nợ phải trả,Nợ phải trả không phân bổ theo bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,7.488.110.747.330,,,,7488110747330.0
