row_label_raw,row_label_full,01/01/2023VND,Số phải nộp trong năm VND,Số đã thực nộp trong năm VND,31/12/2023VND,numeric__Số phải nộp trong năm VND,numeric__Số đã thực nộp trong năm VND,numeric__31/12/2023VND
107.142.763,107.142.763,107.142.763,12.432.870.497,11.653.986.830,886.026.430,12432870497.0,11653986830.0,886026430.0
39.539.448.532,39.539.448.532,39.539.448.532,12.532.422.167,52.071.870.699,-,12532422167.0,52071870699.0,
788.031.913,788.031.913,788.031.913,2.129.360.264,2.356.588.434,560.803.743,2129360264.0,2356588434.0,560803743.0
-,-,-,10.127.523.771,10.127.523.771,-,10127523771.0,10127523771.0,
121.385.634,121.385.634,121.385.634,6.000.000,6.000.000,121.385.634,6000000.0,6000000.0,121385634.0
8.494.501,8.494.501,8.494.501,-,-,8.494.501,,,8494501.0
40.564.503.343,40.564.503.343,40.564.503.343,37.228.176.699,76.215.969.734,1.576.710.308,37228176699.0,76215969734.0,1576710308.0
01/01/2023VND,01/01/2023VND,01/01/2023VND,Số phải nộp trong năm VND,Số đã thực nộp trong năm VND,31/12/2023VND,,,
-,01/01/2023VND > -,-,-,16.785.526.024,16.785.526.024,,16785526024.0,16785526024.0
11.017.365,01/01/2023VND > 11.017.365,11.017.365,-,11.017.365,-,,11017365.0,
11.017.365,01/01/2023VND > 11.017.365,11.017.365,-,16.796.543.389,16.785.526.024,,16796543389.0,16785526024.0
