row_label_raw,row_label_full,Khoản mục > 01/01/2022 > - Lãi trong năm trước,Vốn đầu tư của chủ sở hữu > VND > 4.495.371.120.000 > -,Quỹ đầu tư phát triển > VND > 14.743.759.363 > -,Lợi nhuận sau thuế chưa phân phối > VND > 135.197.918.465 > 1.220.630.257.464,Tổng cộng > VND > 4.645.312.797.828 > 1.220.630.257.464,numeric__Vốn đầu tư của chủ sở hữu > VND > 4.495.371.120.000 > -,numeric__Quỹ đầu tư phát triển > VND > 14.743.759.363 > -,numeric__Lợi nhuận sau thuế chưa phân phối > VND > 135.197.918.465 > 1.220.630.257.464,numeric__Tổng cộng > VND > 4.645.312.797.828 > 1.220.630.257.464
- Phân phối lợi nhuận,- Phân phối lợi nhuận,- Phân phối lợi nhuận,-,-,(134.047.333.915),(134.047.333.915),,,-134047333915.0,-134047333915.0
+ Trích quỹ khen thưởng phúc lợi,+ Trích quỹ khen thưởng phúc lợi,+ Trích quỹ khen thưởng phúc lợi,-,-,(8.176.942.555),(8.176.942.555),,,-8176942555.0,-8176942555.0
+ Chia cổ tức,+ Chia cổ tức,+ Chia cổ tức,-,-,(125.870.391.360),(125.870.391.360),,,-125870391360.0,-125870391360.0
31/12/2022,31/12/2022,31/12/2022,4.495.371.120.000,14.743.759.363,1.221.780.842.014,5.731.895.721.377,4495371120000.0,14743759363.0,1221780842014.0,5731895721377.0
01/01/2023,01/01/2023,01/01/2023,4.495.371.120.000,14.743.759.363,1.221.780.842.014,5.731.895.721.377,4495371120000.0,14743759363.0,1221780842014.0,5731895721377.0
- Lãi trong năm nay,- Lãi trong năm nay,- Lãi trong năm nay,-,-,396.322.747.679,396.322.747.679,,,396322747679.0,396322747679.0
- Phân phối lợi nhuận,- Phân phối lợi nhuận,- Phân phối lợi nhuận,-,530.000.000.000,(991.261.080.750),(461.261.080.750),,530000000000.0,-991261080750.0,-461261080750.0
+ Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,-,530.000.000.000,(530.000.000.000),-,,530000000000.0,-530000000000.0,
+ Trích quỹ khen thưởng phúc lợi,+ Trích quỹ khen thưởng phúc lợi,+ Trích quỹ khen thưởng phúc lợi,-,-,(11.723.968.750),(11.723.968.750),,,-11723968750.0,-11723968750.0
+ Chia cổ tức,+ Chia cổ tức,+ Chia cổ tức,-,-,(449.537.112.000),(449.537.112.000),,,-449537112000.0,-449537112000.0
31/12/2023,31/12/2023,31/12/2023,4.495.371.120.000,544.743.759.363,626.842.508.943,5.666.957.388.306,4495371120000.0,544743759363.0,626842508943.0,5666957388306.0
