row_label_raw,row_label_full,col_0,col_1,Năm 2023,Năm 2022,numeric__col_1,numeric__Năm 2023,numeric__Năm 2022
,,,,VND,VND,,,
Thu nhập của các thành viên quản lý chủ chốt,Thu nhập của các thành viên quản lý chủ chốt,Thu nhập của các thành viên quản lý chủ chốt,Thu nhập của các thành viên quản lý chủ chốt,Thu nhập của các thành viên quản lý chủ chốt,Thu nhập của các thành viên quản lý chủ chốt,,,
Hội đồng quản trị và ban Tổng giám đốc,Thu nhập của các thành viên quản lý chủ chốt > Hội đồng quản trị và ban Tổng giám đốc,Hội đồng quản trị và ban Tổng giám đốc,Hội đồng quản trị và ban Tổng giám đốc,5.631.624.607,5.560.352.151,,5631624607.0,5560352151.0
Ông Trần Văn Tuấn,Thu nhập của các thành viên quản lý chủ chốt > Ông Trần Văn Tuấn,Ông Trần Văn Tuấn,Chủ tịch,1.143.037.979,837.159.714,,1143037979.0,837159714.0
(Bổ nhiệm ngày 15/06/2023),(Bổ nhiệm ngày 15/06/2023),(Bổ nhiệm ngày 15/06/2023),(Bổ nhiệm ngày 15/06/2023),(Bổ nhiệm ngày 15/06/2023),(Bổ nhiệm ngày 15/06/2023),,,
Ông Hồ Văn Dũng,(Bổ nhiệm ngày 15/06/2023) > Ông Hồ Văn Dũng,Ông Hồ Văn Dũng,Chủ tịch,1.114.217.268,970.048.702,,1114217268.0,970048702.0
(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),,,
Ông Nguyễn Văn Tùng,(Miễn nhiệm ngày 09/06/2023) > Ông Nguyễn Văn Tùng,Ông Nguyễn Văn Tùng,Thành viên,747.234.881,681.639.840,,747234881.0,681639840.0
(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),,,
Ông Phạm Văn Quản,(Miễn nhiệm ngày 09/06/2023) > Ông Phạm Văn Quản,Ông Phạm Văn Quản,Thành viên,-,858.078.497,,,858078497.0
(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),(Miễn nhiệm ngày 09/06/2023),,,
Ông Đăng Quốc Bảo,(Miễn nhiệm ngày 09/06/2023) > Ông Đăng Quốc Bảo,Ông Đăng Quốc Bảo,Thành viên,882.099.304,890.163.033,,882099304.0,890163033.0
Ông Trần Anh Đức,(Miễn nhiệm ngày 09/06/2023) > Ông Trần Anh Đức,Ông Trần Anh Đức,Tổng Giám đốc,301.618.182,-,,301618182.0,
(Bổ nhiệm ngày 19/06/2023),(Bổ nhiệm ngày 19/06/2023),(Bổ nhiệm ngày 19/06/2023),(Bổ nhiệm ngày 19/06/2023),(Bổ nhiệm ngày 19/06/2023),(Bổ nhiệm ngày 19/06/2023),,,
Ông Phạm Đức Thành,(Bổ nhiệm ngày 19/06/2023) > Ông Phạm Đức Thành,Ông Phạm Đức Thành,Phó Tổng Giám đốc,720.228.627,665.562.262,,720228627.0,665562262.0
Ông Nguyễn Văn Sơn,(Bổ nhiệm ngày 19/06/2023) > Ông Nguyễn Văn Sơn,Ông Nguyễn Văn Sơn,Phó Tổng Giám đốc,723.188.366,657.700.103,,723188366.0,657700103.0
Ông Nguyễn Văn Thự,Ông Nguyễn Văn Thự,Ông Nguyễn Văn Thự,Phó Tổng Giám đốc,-,-,,,
Ban kiểm soát,Ông Nguyễn Văn Thự > Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,1.606.064.408,941.526.240,,1606064408.0,941526240.0
Ông Nguyễn Văn Thắng,Ông Nguyễn Văn Thự > Ông Nguyễn Văn Thắng,Ông Nguyễn Văn Thắng,Trưởng ban,1.083.806.681,941.526.240,,1083806681.0,941526240.0
Ông Hà Tuấn Linh,Ông Nguyễn Văn Thự > Ông Hà Tuấn Linh,Ông Hà Tuấn Linh,Thành viên,522.257.727,-,,522257727.0,
(Bổ nhiệm ngày 09/06/2023),(Bổ nhiệm ngày 09/06/2023),(Bổ nhiệm ngày 09/06/2023),(Bổ nhiệm ngày 09/06/2023),(Bổ nhiệm ngày 09/06/2023),(Bổ nhiệm ngày 09/06/2023),,,
Cộng,(Bổ nhiệm ngày 09/06/2023) > Cộng,Cộng,Cộng,7.237.689.015,6.501.878.391,,7237689015.0,6501878391.0
