row_label_raw,row_label_full,Nội dung,31/12/2023 > Giá trịVND,31/12/2023 > Số có khả năngtrả nợVND,Trong năm > TăngVND,Trong năm > GiảmVND,01/01/2023 > Giá trịVND,01/01/2023 > Số có khả năngtrả nợVND,numeric__31/12/2023 > Giá trịVND,numeric__31/12/2023 > Số có khả năngtrả nợVND,numeric__Trong năm > TăngVND,numeric__Trong năm > GiảmVND,numeric__01/01/2023 > Giá trịVND,numeric__01/01/2023 > Số có khả năngtrả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.789.590.960.334,1.789.590.960.334,535.051.613.778,31.399.882.188,1.285.939.228.744,1.285.939.228.744,1789590960334.0,1789590960334.0,535051613778.0,31399882188.0,1285939228744.0,1285939228744.0
Vay ngắn hạn các cá nhân,Vay ngắn hạn các cá nhân,Vay ngắn hạn các cá nhân,252.888.819,252.888.819,-,-,252.888.819,252.888.819,252888819.0,252888819.0,,,252888819.0,252888819.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,1.789.338.071.515,1.789.338.071.515,535.051.613.778,31.399.882.188,1.285.686.339.925,1.285.686.339.925,1789338071515.0,1789338071515.0,535051613778.0,31399882188.0,1285686339925.0,1285686339925.0
- Ngân hàng NIB,- Ngân hàng NIB,- Ngân hàng NIB,594.273.345.761,594.273.345.761,38.128.870.992,737.662.141,556.882.136.910,556.882.136.910,594273345761.0,594273345761.0,38128870992.0,737662141.0,556882136910.0,556882136910.0
- Quỹ tích lũy nợ Bộ Tài chính,- Quỹ tích lũy nợ Bộ Tài chính,- Quỹ tích lũy nợ Bộ Tài chính,987.657.671.033,987.657.671.033,392.737.388.509,,594.920.282.524,594.920.282.524,987657671033.0,987657671033.0,392737388509.0,,594920282524.0,594920282524.0
- Ngân hàng Phát triển Châu Á - Vay thông thường,- Ngân hàng Phát triển Châu Á - Vay thông thường,- Ngân hàng Phát triển Châu Á - Vay thông thường,204.049.857.592,204.049.857.592,101.170.122.633,27.344.286.250,130.224.021.209,130.224.021.209,204049857592.0,204049857592.0,101170122633.0,27344286250.0,130224021209.0,130224021209.0
- Ngân hàng Phát triển Châu Á - Vay đặc biệt,- Ngân hàng Phát triển Châu Á - Vay đặc biệt,- Ngân hàng Phát triển Châu Á - Vay đặc biệt,3.357.197.129,3.357.197.129,3.015.231.644,3.317.933.797,3.659.899.282,3.659.899.282,3357197129.0,3357197129.0,3015231644.0,3317933797.0,3659899282.0,3659899282.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,2.055.006.282.525,2.055.006.282.525,68.912.332.745,104.359.289.672,2.090.453.239.452,2.090.453.239.452,2055006282525.0,2055006282525.0,68912332745.0,104359289672.0,2090453239452.0,2090453239452.0
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,2.055.006.282.525,2.055.006.282.525,68.912.332.745,104.359.289.672,2.090.453.239.452,2.090.453.239.452,2055006282525.0,2055006282525.0,68912332745.0,104359289672.0,2090453239452.0,2090453239452.0
- Ngân hàng Phát triển Châu Á - Vay thông thường,- Ngân hàng Phát triển Châu Á - Vay thông thường,- Ngân hàng Phát triển Châu Á - Vay thông thường,1.991.103.647.429,1.991.103.647.429,66.741.697.279,101.259.498.656,2.025.621.448.806,2.025.621.448.806,1991103647429.0,1991103647429.0,66741697279.0,101259498656.0,2025621448806.0,2025621448806.0
- Ngân hàng Phát triển Châu Á - Vay đặc biệt,- Ngân hàng Phát triển Châu Á - Vay đặc biệt,- Ngân hàng Phát triển Châu Á - Vay đặc biệt,63.902.635.096,63.902.635.096,2.170.635.466,3.099.791.016,64.831.790.646,64.831.790.646,63902635096.0,63902635096.0,2170635466.0,3099791016.0,64831790646.0,64831790646.0
Công,Công,Công,3.844.597.242.859,3.844.597.242.859,603.963.946.523,135.759.171.860,3.376.392.468.196,3.376.392.468.196,3844597242859.0,3844597242859.0,603963946523.0,135759171860.0,3376392468196.0,3376392468196.0
