row_label_raw,row_label_full,Ông Nguyễn Thế Huân,Trường ban,numeric__Trường ban
Bà Phạm Thị Thơm,Bà Phạm Thị Thơm,Bà Phạm Thị Thơm,Thành viên,
Ông Trần Minh Đức,Ông Trần Minh Đức,Ông Trần Minh Đức,Thành viên,
Bà Phạm Thị Hồng Phương,Bà Phạm Thị Hồng Phương,Bà Phạm Thị Hồng Phương,Thành viên,
