row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2017 triệu đồng,Ngày 31 tháng 12 năm 2016 (trình bày lại) triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2017 triệu đồng,numeric__Ngày 31 tháng 12 năm 2016 (trình bày lại) triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,5.979.833,5.187.132,5.0,5979833.0,5187132.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,20.756.531,13.502.594,6.0,20756531.0,13502594.0
Tiền gửi và cho vay các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,7,107.510.487,94.469.281,7.0,107510487.0,94469281.0
Tiền gửi tại các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,,101.938.284,91.031.828,,101938284.0,91031828.0
Cho vay các tổ chức tín dụng khác,TÀI SẢN > Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,,5.572.203,3.437.453,,5572203.0,3437453.0
Dự phòng rủi ro,Dự phòng rủi ro,Dự phòng rủi ro,,-,-,,,
Chứng khoán kinh doanh,Dự phòng rủi ro > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,3.528.982,1.894.690,8.0,3528982.0,1894690.0
Chứng khoán kinh doanh,Dự phòng rủi ro > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,3.602.443,1.974.670,,3602443.0,1974670.0
Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,(73.461),(79.980),,-73461.0,-79980.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Dự phòng rủi ro > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,528.762,682.690,9.0,528762.0,682690.0
Cho vay khách hàng,Dự phòng rủi ro > Cho vay khách hàng,Cho vay khách hàng,,782.385.236,655.089.226,,782385236.0,655089226.0
Cho vay khách hàng,Dự phòng rủi ro > Cho vay khách hàng,Cho vay khách hàng,10,790.688.059,661.987.797,10.0,790688059.0,661987797.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(8.302.823),(6.898.571),11.0,-8302823.0,-6898571.0
Chứng khoán đầu tư,Dự phòng rủi ro > Chứng khoán đầu tư,Chứng khoán đầu tư,12,128.392.765,134.226.686,12.0,128392765.0,134226686.0
