row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2017triệu đồng,%,Ngày 31 tháng 12năm 2016(trình bày lại)triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2017triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2016(trình bày lại)triệu đồng,numeric__%_1
Xây dựng,Xây dựng,Xây dựng,84.586.370,"10,70",63.082.118,"9,53",84586370.0,10.7,63082118.0,9.53
"Sản xuất và phân phối điện, khídốt và nước","Sản xuất và phân phối điện, khídốt và nước","Sản xuất và phân phối điện, khídốt và nước",23.950.207,"3,03",32.131.389,"4,85",23950207.0,3.03,32131389.0,4.85
Sản xuất và gia công chế biến,Sản xuất và gia công chế biến,Sản xuất và gia công chế biến,222.476.492,"28,13",196.735.423,"29,73",222476492.0,28.13,196735423.0,29.73
Khai khoáng,Khai khoáng,Khai khoáng,27.733.755,"3,51",20.716.612,"3,13",27733755.0,3.51,20716612.0,3.13
"Nông, lâm, thủy hải sản","Nông, lâm, thủy hải sản","Nông, lâm, thủy hải sản",31.457.587,"3,98",30.779.162,"4,65",31457587.0,3.98,30779162.0,4.65
Vận tải kho bãi và thông tin liênlạc,Vận tải kho bãi và thông tin liênlạc,Vận tải kho bãi và thông tin liênlạc,32.350.775,"4,09",13.819.478,"2,09",32350775.0,4.09,13819478.0,2.09
"Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác",213.086.772,"26,95",179.731.946,"27,15",213086772.0,26.95,179731946.0,27.15
"Thương mại, dịch vụ","Thương mại, dịch vụ","Thương mại, dịch vụ",56.164.741,"7,10",65.035.819,"9,82",56164741.0,7.1,65035819.0,9.82
"Hoạt động làm thuê các côngviệc trong các hộ gia đình, sảnxuất sản phẩm vất chất và dịchvụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các côngviệc trong các hộ gia đình, sảnxuất sản phẩm vất chất và dịchvụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các côngviệc trong các hộ gia đình, sảnxuất sản phẩm vất chất và dịchvụ tự tiêu dùng của hộ gia đình",85.067.043,"10,76",50.066.963,"7,56",85067043.0,10.76,50066963.0,7.56
Các ngành khác,Các ngành khác,Các ngành khác,13.814.317,"1,75",9.888.887,"1,49",13814317.0,1.75,9888887.0,1.49
,,,790.688.059,100,661.987.797,100,790688059.0,100.0,661987797.0,100.0
