row_label_raw,row_label_full,col_0,Không chịu lãi triệu đồng,Trên 3 tháng triệu đồng,Đến 3 tháng triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,numeric__Không chịu lãi triệu đồng,numeric__Trên 3 tháng triệu đồng,numeric__Đến 3 tháng triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.979.833,-,-,-,-,-,-,-,-,5.979.833,5979833.0,,,,,,,,,5979833.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,20.756.531,-,-,-,-,-,20.756.531,,,,20756531.0,,,,,,20756531.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,-,101.507.390,3.787.397,1.569.700,646.000,-,-,107.510.487,,,,101507390.0,3787397.0,1569700.0,646000.0,,,107510487.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,3.602.443,-,-,-,-,-,3.602.443,,,,3602443.0,,,,,,3602443.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,528.762,-,-,-,-,-,528.762,,,,528762.0,,,,,,528762.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,9.011.131,3.627.123,281.588.173,232.787.634,196.312.248,50.304.833,15.799.518,1.257.399,790.688.059,,9011131.0,3627123.0,281588173.0,232787634.0,196312248.0,50304833.0,15799518.0,1257399.0,790688059.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),2.944.043,480.850,-,12.930.074,28.511.778,6.602.374,9.792.034,41.477.323,28.154.577,130.893.053,2944043.0,480850.0,,12930074.0,28511778.0,6602374.0,9792034.0,41477323.0,28154577.0,130893053.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",3.116.900,-,-,-,-,-,-,-,-,3.116.900,3116900.0,,,,,,,,,3116900.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,11.436.527,-,-,-,-,-,-,-,-,11.436.527,11436527.0,,,,,,,,,11436527.0
