row_label_raw,row_label_full,Chỉ tiêu,Năm 2016Trình bày lại(Sau điều chỉnh của KTNN),Năm 2016Số đã công bố(Sau kiểm toán của Kiểm toán độc lập),Điều chỉnh,numeric__Năm 2016Trình bày lại(Sau điều chỉnh của KTNN),numeric__Năm 2016Số đã công bố(Sau kiểm toán của Kiểm toán độc lập),numeric__Điều chỉnh
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,655.089.226,655.125.731,(36.505),655089226.0,655125731.0,-36505.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(6.898.571),(6.862.066),(36.505),-6898571.0,-6862066.0,-36505.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,10.623.575,10.615.318,8.257,10623575.0,10615318.0,8257.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,6.422.388,6.422.471,(83),6422388.0,6422471.0,-83.0
Nguyên giá TSCĐ,Nguyên giá TSCĐ,Nguyên giá TSCĐ,12.538.577,12.538.329,248,12538577.0,12538329.0,248.0
Hao mòn TSCĐ,Hao mòn TSCĐ,Hao mòn TSCĐ,(6.116.189),(6.115.858),(331),-6116189.0,-6115858.0,-331.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,4.201.187,4.192.847,8.340,4201187.0,4192847.0,8340.0
Nguyên giá TSCĐ,Nguyên giá TSCĐ,Nguyên giá TSCĐ,5.144.462,5.141.691,2.771,5144462.0,5141691.0,2771.0
Hao mòn TSCĐ,Hao mòn TSCĐ,Hao mòn TSCĐ,(943.275),(948.844),5.569,-943275.0,-948844.0,5569.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,29.688.994,29.792.264,(103.270),29688994.0,29792264.0,-103270.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,12.573.436,12.572.928,508,12573436.0,12572928.0,508.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",14.106.717,14.207.830,(101.113),14106717.0,14207830.0,-101113.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,3.010.388,3.013.053,(2.665),3010388.0,3013053.0,-2665.0
TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,948.567.505,948.699.023,(131.518),948567505.0,948699023.0,-131518.0
