row_label_raw,row_label_full,col_0,2017triệu đồng,2016(trình bày lại)triệu đồng,numeric__2017triệu đồng,numeric__2016(trình bày lại)triệu đồng
"Chi phí thuế, lệ phí và phí","Chi phí thuế, lệ phí và phí","Chi phí thuế, lệ phí và phí",35.515,36.675,35515.0,36675.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,,,,
Chi lương và phụ cấp,Chi phí cho nhân viên > Chi lương và phụ cấp,Chi lương và phụ cấp,6.919.462,5.826.200,6919462.0,5826200.0
Các khoản chi đóng góp theo lương,Chi phí cho nhân viên > Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,431.020,347.067,431020.0,347067.0
Chi trợ cấp,Chi phí cho nhân viên > Chi trợ cấp,Chi trợ cấp,32.842,27.283,32842.0,27283.0
Chi khác,Chi phí cho nhân viên > Chi khác,Chi khác,899.064,744.195,899064.0,744195.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,,,,
Khẩu hao tài sản cố định,Chi về tài sản > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,1.159.913,915.978,1159913.0,915978.0
Chi khác về tài sản,Chi về tài sản > Chi khác về tài sản,Chi khác về tài sản,1.471.533,1.227.892,1471533.0,1227892.0
Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,,,,
Chi công tác phí,Chi cho hoạt động quản lý công vụ > Chi công tác phí,Chi công tác phí,243.992,213.317,243992.0,213317.0
Chi các hoạt động đoàn thể của TCTD,Chi cho hoạt động quản lý công vụ > Chi các hoạt động đoàn thể của TCTD,Chi các hoạt động đoàn thể của TCTD,45.620,26.667,45620.0,26667.0
Chi khác cho hoạt động quản lý,Chi cho hoạt động quản lý công vụ > Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,3.282.684,2.991.924,3282684.0,2991924.0
Chi bảo hiểm tiền gửi của khách hàng,Chi cho hoạt động quản lý công vụ > Chi bảo hiểm tiền gửi của khách hàng,Chi bảo hiểm tiền gửi của khách hàng,542.652,431.509,542652.0,431509.0
Chi phí dự phòng,Chi cho hoạt động quản lý công vụ > Chi phí dự phòng,Chi phí dự phòng,5.480,60.136,5480.0,60136.0
,,,15.069.777,12.848.843,15069777.0,12848843.0
