row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2017triệu đồng,Ngày 31 tháng 12năm 2016(trình bày lại)triệu đồng,numeric__Ngày 31 tháng 12năm 2017triệu đồng,numeric__Ngày 31 tháng 12năm 2016(trình bày lại)triệu đồng
"Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác",99.146.666,95.217.477,99146666.0,95217477.0
Tiền giữ hộ và chờ thanh toán,Tiền giữ hộ và chờ thanh toán,Tiền giữ hộ và chờ thanh toán,306.586,246.723,306586.0,246723.0
Thuế thu nhập doanh nghiệp phải trả,Thuế thu nhập doanh nghiệp phải trả,Thuế thu nhập doanh nghiệp phải trả,131.590,177.602,131590.0,177602.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,1.207.851,874.572,1207851.0,874572.0
Phải trả khác liên quan đến nghiệp vụ chứng khoán,Phải trả khác liên quan đến nghiệp vụ chứng khoán,Phải trả khác liên quan đến nghiệp vụ chứng khoán,742.324,224.709,742324.0,224709.0
Thuế và phí phải trả,Thuế và phí phải trả,Thuế và phí phải trả,185.067,118.876,185067.0,118876.0
Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,86.654,85.290,86654.0,85290.0
Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,6.526,6.000,6526.0,6000.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,287.517,147.345,287517.0,147345.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,-,2.606.383,,2606383.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,151.356,451.086,151356.0,451086.0
,,,102.252.137,100.156.063,102252137.0,100156063.0
