row_label_raw,row_label_full,col_0,2017triệu đồng,2016triệu đồng,numeric__2017triệu đồng,numeric__2016triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,4.302.331,3.334.497,4302331.0,3334497.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,2.016.316,1.618.757,2016316.0,1618757.0
Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,51.540,84.960,51540.0,84960.0
Thu phí khác,Thu phí khác,Thu phí khác,2.234.475,1.630.780,2234475.0,1630780.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(2.447.131),(1.636.472),-2447131.0,-1636472.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(1.175.581),(251.185),-1175581.0,-251185.0
Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,(30.611),(16.225),-30611.0,-16225.0
Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,(189.858),(182.301),-189858.0,-182301.0
Chi khác,Chi khác,Chi khác,(1.051.081),(1.186.761),-1051081.0,-1186761.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,1.855.200,1.698.025,1855200.0,1698025.0
