row_label_raw,row_label_full,col_0,Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh triệu đồng,Giữ đến ngày đáo hạn triệu đồng,Cho vay và phải thu triệu đồng,Sẵn sàng để bán triệu đồng,Tài sản và nợ khác hạch toán theo giá trị phân bố triệu đồng,Tổng cộng giá trị ghi số triệu đồng,Giá trị hợp lý triệu đồng,numeric__Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh triệu đồng,numeric__Giữ đến ngày đáo hạn triệu đồng,numeric__Cho vay và phải thu triệu đồng,numeric__Sẵn sàng để bán triệu đồng,numeric__Tài sản và nợ khác hạch toán theo giá trị phân bố triệu đồng,numeric__Tổng cộng giá trị ghi số triệu đồng,numeric__Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.979.833,-,-,-,-,5.979.833,5.979.833,5979833.0,,,,,5979833.0,5979833.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,20.756.531,-,-,-,-,20.756.531,20.756.531,20756531.0,,,,,20756531.0,20756531.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,107.510.487,-,-,107.510.487,(*),,,107510487.0,,,107510487.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,3.602.443,-,-,-,-,3.602.443,(*),3602443.0,,,,,3602443.0,
Các công cụ tài chính phải sinh và các tài sản tài chính,Các công cụ tài chính phải sinh và các tài sản tài chính,Các công cụ tài chính phải sinh và các tài sản tài chính,528.762,-,-,-,-,528.762,(*),528762.0,,,,,528762.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,790.688.059,-,-,790.688.059,(*),,,790688059.0,,,790688059.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,125.759.661,-,125.759.661,(*),,,,125759661.0,,125759661.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,5.133.392,-,-,-,5.133.392,(*),,5133392.0,,,,5133392.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,412.645,-,412.645,(*),,,,412645.0,,412645.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,31.426.766,-,-,31.426.766,(*),,,31426766.0,,,31426766.0,
,,,30.867.569,5.133.392,929.625.312,126.172.306,-,1.091.798.579,,30867569.0,5133392.0,929625312.0,126172306.0,,1091798579.0,
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,15.206.899,15.206.899,(*),,,,,15206899.0,15206899.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,115.158.765,115.158.765,(*),,,,,115158765.0,115158765.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,752.935.338,752.935.338,(*),,,,,752935338.0,752935338.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,-,-,6.364.158,6.364.158,(*),,,,,6364158.0,6364158.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,22.501.773,22.501.773,(*),,,,,22501773.0,22501773.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,118.432.526,118.432.526,(*),,,,,118432526.0,118432526.0,
,,,-,-,-,-,1.030.599.459,1.030.599.459,,,,,,1030599459.0,1030599459.0,
