row_label_raw,row_label_full,Ông Lê Đức Thọ,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Trần Minh Bình,Ông Trần Minh Bình,Ông Trần Minh Bình,Phó Tổng Giám đốc,
Bà Bùi Như ÝY,Bà Bùi Như ÝY,Bà Bùi Như ÝY,Phó Tổng Giám đốc (nghĩ hưu từ ngày 01/05/2017),
Ông Nguyễn Hoàng Dũng,Ông Nguyễn Hoàng Dũng,Ông Nguyễn Hoàng Dũng,Phó Tổng Giám đốc,
Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Phó Tổng Giám đốc,
Ông Trần Công Quỳnh Lân,Ông Trần Công Quỳnh Lân,Ông Trần Công Quỳnh Lân,Phó Tổng Giám đốc,
Ông Nguyễn Đình Vinh,Ông Nguyễn Đình Vinh,Ông Nguyễn Đình Vinh,Phó Tổng Giám đốc,
Bà Lê Như Hoa,Bà Lê Như Hoa,Bà Lê Như Hoa,Phó Tổng Giám đốc,
Ông Hiroshi Yamaguchi,Ông Hiroshi Yamaguchi,Ông Hiroshi Yamaguchi,Phó Tổng Giám đốc (bố nhiệm ngày 15/05/2017),
Ông Hiroyuki Nagata,Ông Hiroyuki Nagata,Ông Hiroyuki Nagata,Phó Tổng Giám đốc (thời giữ chức vụ từ ngày 15/05/2017),
Ông Nguyễn Hải Hưng,Ông Nguyễn Hải Hưng,Ông Nguyễn Hải Hưng,Kế toán Trường,
