row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2017triệu đồng,%,Ngày 31 tháng 12năm 2016triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2017triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2016triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,81.729.855,"10,85",91.619.723,"13,99",81729855.0,10.85,91619723.0,13.99
Công ty TNHH MTV vốn Nhà nước 100%,Công ty TNHH MTV vốn Nhà nước 100%,Công ty TNHH MTV vốn Nhà nước 100%,57.852.075,"7,68",52.266.511,"7,98",57852075.0,7.68,52266511.0,7.98
"Công ty TNHH 2 thành viên trở lên, vốn Nhà nước trên 50%","Công ty TNHH 2 thành viên trở lên, vốn Nhà nước trên 50%","Công ty TNHH 2 thành viên trở lên, vốn Nhà nước trên 50%",1.666.059,"0,22",994.156,"0,15",1666059.0,0.22,994156.0,0.15
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,24.465.024,"3,25",19.013.792,"2,90",24465024.0,3.25,19013792.0,2.9
Công ty Cổ phần vốn Nhà nước trên 50%,Công ty Cổ phần vốn Nhà nước trên 50%,Công ty Cổ phần vốn Nhà nước trên 50%,28.278.246,"3,76",31.467.920,"4,80",28278246.0,3.76,31467920.0,4.8
Công ty Cổ phần khác,Công ty Cổ phần khác,Công ty Cổ phần khác,51.315.381,"6,82",34.306.646,"5,24",51315381.0,6.82,34306646.0,5.24
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,2.411.262,"0,32",71.241,"0,01",2411262.0,0.32,71241.0,0.01
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,1.886.742,"0,25",2.213.889,"0,34",1886742.0,0.25,2213889.0,0.34
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,48.997.014,"6,51",36.464.620,"5,57",48997014.0,6.51,36464620.0,5.57
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,440.958,"0,06",434.301,"0,07",440958.0,0.06,434301.0,0.07
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",412.340.160,"54,76",348.446.993,"53,18",412340160.0,54.76,348446993.0,53.18
"Dịch vụ hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội","Dịch vụ hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội","Dịch vụ hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội",30.928.742,"4,11",26.705.147,"4,08",30928742.0,4.11,26705147.0,4.08
Thành phần kinh tế khác,Thành phần kinh tế khác,Thành phần kinh tế khác,10.623.820,"1,41",11.055.209,"1,69",10623820.0,1.41,11055209.0,1.69
,,,752.935.338,100,655.060.148,100,752935338.0,100.0,655060148.0,100.0
