row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ đầu tư phát triển triệu đồng,Chênh lệch tỷ giá hối đoái triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Lợi ích cổ đông không kiểm soát triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ đầu tư phát triển triệu đồng,numeric__Chênh lệch tỷ giá hối đoái triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Lợi ích cổ đông không kiểm soát triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,37.234.046,8.974.732,1.791.882,3.478.726,4.424,441.537,3.942.373,242.426,56.110.146,37234046.0,8974732.0,1791882.0,3478726.0,4424.0,441537.0,3942373.0,242426.0,56110146.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,6.837.866,19.984,6.857.850,,,,,,,6837866.0,19984.0,6857850.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,348.373,688.111,10.178,-,(1.046.662),(2.073),(2.073),,,348373.0,688111.0,10178.0,,-1046662.0,-2073.0,-2073.0
Trả cổ tức trong năm,Trả cổ tức trong năm,Trả cổ tức trong năm,-,-,-,-,-,-,(2.606.383),-,(2.606.383),,,,,,,-2606383.0,,-2606383.0
Phân loại lại giữa các quỹ,Phân loại lại giữa các quỹ,Phân loại lại giữa các quỹ,-,-,-,(33.702),33.702,-,-,-,-,,,,-33702.0,33702.0,,,,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,(2.743),-,-,-,-,(2.743),,,,-2743.0,,,,,-2743.0
Tăng vốn bằng cổ phiếu của công ty con trong năm,Tăng vốn bằng cổ phiếu của công ty con trong năm,Tăng vốn bằng cổ phiếu của công ty con trong năm,-,-,50.601,-,-,-,(50.601),-,-,,,50601.0,,,,-50601.0,,
Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,-,-,-,90,-,38.474,-,-,38.564,,,,90.0,,38474.0,,,38564.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,(11),-,(2.744),-,-,(85.838),(4),(88.597),,-11.0,,-2744.0,,,-85838.0,-4.0,-88597.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,37.234.046,8.974.721,2.190.856,4.127.738,48.304,480.011,6.990.755,260.333,60.306.764,37234046.0,8974721.0,2190856.0,4127738.0,48304.0,480011.0,6990755.0,260333.0,60306764.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,7.432.363,26.539,7.458.902,,,,,,,7432363.0,26539.0,7458902.0
Trích các quỹ trong năm,Trích các quỹ trong năm,Trích các quỹ trong năm,-,-,351.990,695.891,7.531,-,(1.055.413),(2.124),(2.125),,,351990.0,695891.0,7531.0,,-1055413.0,-2124.0,-2125.0
Tăng khác trong năm,Tăng khác trong năm,Tăng khác trong năm,-,-,-,-,-,-,-,10.874,10.874,,,,,,,,10874.0,10874.0
"Trích quỹ khen thưởng, phúc lợi năm 2016","Trích quỹ khen thưởng, phúc lợi năm 2016","Trích quỹ khen thưởng, phúc lợi năm 2016",-,-,-,-,-,-,(1.412.266),-,(1.412.266),,,,,,,-1412266.0,,-1412266.0
Trả cổ tức năm 2016,Trả cổ tức năm 2016,Trả cổ tức năm 2016,-,-,-,-,-,-,(2.606.383),-,(2.606.383),,,,,,,-2606383.0,,-2606383.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,(623),-,-,-,-,(623),,,,-623.0,,,,,-623.0
Tăng vốn bằng cổ phiếu của công ty con trong năm,Tăng vốn bằng cổ phiếu của công ty con trong năm,Tăng vốn bằng cổ phiếu của công ty con trong năm,-,-,54.652,-,-,-,(54.652),-,-,,,54652.0,,,,-54652.0,,
Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,-,-,-,-,-,70.590,-,-,70.590,,,,,,70590.0,,,70590.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,(11),-,-,-,-,(60.435),(4),(60.450),,-11.0,,,,,-60435.0,-4.0,-60450.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,37.234.046,8.974.710,2.597.498,4.823.006,55.835,550.601,9.233.969,295.618,63.765.283,37234046.0,8974710.0,2597498.0,4823006.0,55835.0,550601.0,9233969.0,295618.0,63765283.0
