row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Trong hạn_5,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Trong hạn_5
,,,Trên 3 tháng triệu đồng,Đến 3 tháng triệu đồng,Đến 1 tháng triệu đồng,Từ 1 đến 3 tháng triệu đồng,Từ 3 đến 12 tháng triệu đồng,Từ 1 đến 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,5.979.833,-,-,-,-,5.979.833,,,5979833.0,,,,,5979833.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,20.756.531,-,-,-,-,20.756.531,,,20756531.0,,,,,20756531.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,101.507.390,3.787.397,2.215.700,-,-,107.510.487,,,101507390.0,3787397.0,2215700.0,,,107510487.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,3.602.443,-,-,-,-,3.602.443,,,3602443.0,,,,,3602443.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,528.762,-,-,-,-,528.762,,,528762.0,,,,,528762.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),9.011.131,3.627.123,60.044.687,160.489.498,264.788.215,114.157.567,178.569.838,790.688.059,9011131.0,3627123.0,60044687.0,160489498.0,264788215.0,114157567.0,178569838.0,790688059.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),480.850,-,8.118.353,912.490,16.071.040,71.938.242,33.372.078,130.893.053,480850.0,,8118353.0,912490.0,16071040.0,71938242.0,33372078.0,130893053.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,3.116.900,3.116.900,,,,,,,3116900.0,3116900.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,-,-,-,-,-,11.436.527,11.436.527,,,,,,,11436527.0,11436527.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),7.816,-,-,-,-,-,31.427.618,31.435.434,7816.0,,,,,,31427618.0,31435434.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,9.499.797,3.627.123,200.537.999,165.189.385,283.074.955,186.095.809,257.922.961,1.105.948.029,9499797.0,3627123.0,200537999.0,165189385.0,283074955.0,186095809.0,257922961.0,1105948029.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
