row_label_raw,row_label_full,EUR được quy đổi triệu đồng,USD được quy đổi triệu đồng,Céc loại ngoại tệ khác quy đổi triệu đồng,Tổng cộng triệu đồng,numeric__USD được quy đổi triệu đồng,numeric__Céc loại ngoại tệ khác quy đổi triệu đồng,numeric__Tổng cộng triệu đồng
127.689,127.689,127.689,611.183,39.091,777.963,611183.0,39091.0,777963.0
-,-,-,3.135.825,-,3.135.825,3135825.0,,3135825.0
1.392.957,1.392.957,1.392.957,26.771.161,435.924,28.600.042,26771161.0,435924.0,28600042.0
-,-,-,-,-,-,,,
-,-,-,-,-,-,,,
2.003.428,- > 2.003.428,2.003.428,92.744.443,2.190.282,96.938.153,92744443.0,2190282.0,96938153.0
-,-,-,-,-,-,,,
-,- > -,-,1.688.788,-,1.688.788,1688788.0,,1688788.0
75.335,- > 75.335,75.335,-,-,75.335,,,75335.0
1.457.082,- > 1.457.082,1.457.082,5.283.591,-,6.740.673,5283591.0,,6740673.0
5.056.491,- > 5.056.491,5.056.491,130.234.991,2.665.297,137.956.779,130234991.0,2665297.0,137956779.0
-,-,-,-,-,-,,,
260.257,- > 260.257,260.257,56.618.398,9.194,56.887.849,56618398.0,9194.0,56887849.0
3.263.435,- > 3.263.435,3.263.435,45.160.632,156.217,48.580.284,45160632.0,156217.0,48580284.0
203.000,- > 203.000,203.000,5.322.649,10.994,5.536.643,5322649.0,10994.0,5536643.0
-,- > -,-,848,-,848,848.0,,848.0
2.804.176,- > 2.804.176,2.804.176,1.654.628,-,4.458.804,1654628.0,,4458804.0
-,-,-,-,-,-,,,
6.530.868,- > 6.530.868,6.530.868,108.757.155,176.405,115.464.428,108757155.0,176405.0,115464428.0
(1.474.377),- > (1.474.377),(1.474.377),21.477.836,2.488.892,22.492.351,21477836.0,2488892.0,22492351.0
-,-,-,-,-,-,,,
(1.474.377),- > (1.474.377),(1.474.377),21.477.836,2.488.892,22.492.351,21477836.0,2488892.0,22492351.0
