row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,551.227.980.000,36.141.891.246,646.734.369.757,111.009.228.762,1.345.113.469.765,551227980000.0,36141891246.0,646734369757.0,111009228762.0,1345113469765.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,85.378.566.388,85.378.566.388,,,,85378566388.0,85378566388.0
"Trích lập Quỹ khen thưởng, phúc lợi(Thuyết minh 13)","Trích lập Quỹ khen thưởng, phúc lợi(Thuyết minh 13)","Trích lập Quỹ khen thưởng, phúc lợi(Thuyết minh 13)",-,-,-,(9.957.000.000),(9.957.000.000),,,,-9957000000.0,-9957000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(148.831.554.600),(148.831.554.600),,,,-148831554600.0,-148831554600.0
Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.300.000.000),(2.300.000.000),,,,-2300000000.0,-2300000000.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,551.227.980.000,36.141.891.246,646.734.369.757,35.299.240.550,1.269.403.481.553,551227980000.0,36141891246.0,646734369757.0,35299240550.0,1269403481553.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,249.143.311.503,249.143.311.503,,,,249143311503.0,249143311503.0
"Trích lập Quỹ khen thưởng, phúc lợi(Thuyết minh 13) (*)","Trích lập Quỹ khen thưởng, phúc lợi(Thuyết minh 13) (*)","Trích lập Quỹ khen thưởng, phúc lợi(Thuyết minh 13) (*)",-,-,-,(5.620.000.000),(5.620.000.000),,,,-5620000000.0,-5620000000.0
Thường Hội đồng Quản trị và Ban Kiểm soát (*),Thường Hội đồng Quản trị và Ban Kiểm soát (*),Thường Hội đồng Quản trị và Ban Kiểm soát (*),-,-,-,(2.300.000.000),(2.300.000.000),,,,-2300000000.0,-2300000000.0
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,-,(27.561.399.000),(27.561.399.000),,,,-27561399000.0,-27561399000.0
Tạm ứng cổ tức năm 2021 (**),Tạm ứng cổ tức năm 2021 (**),Tạm ứng cổ tức năm 2021 (**),-,-,-,(27.561.399.000),(27.561.399.000),,,,-27561399000.0,-27561399000.0
Vốn tăng trong năm (***),Vốn tăng trong năm (***),Vốn tăng trong năm (***),549.053.560.000,-,-,-,549.053.560.000,549053560000.0,,,,549053560000.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,1.100.281.540.000,36.141.891.246,646.734.369.757,221.399.754.053,2.004.557.555.056,1100281540000.0,36141891246.0,646734369757.0,221399754053.0,2004557555056.0
