row_label_raw,row_label_full,col_0,31/12/2021,31/12/2021_1,31/12/2020,31/12/2020_1,numeric__31/12/2021,numeric__31/12/2021_1,numeric__31/12/2020,numeric__31/12/2020_1
,,,Cổ phiếu phổ thông,%,Cổ phiếu phổ thông,%,,,,
Công ty Cổ phần Đại lý Vận tải SAFI,Công ty Cổ phần Đại lý Vận tải SAFI,Công ty Cổ phần Đại lý Vận tải SAFI,6.400.000,"5,82",5.290.000,"9,60",6400000.0,5.82,5290000.0,9.6
Công ty Cổ phần Đầu tư Sao Á D.C,Công ty Cổ phần Đầu tư Sao Á D.C,Công ty Cổ phần Đầu tư Sao Á D.C,-,-,4.750.000,"8,62",,,4750000.0,8.62
Công ty Cổ phần Tập đoàn T&D Group,Công ty Cổ phần Tập đoàn T&D Group,Công ty Cổ phần Tập đoàn T&D Group,5.710.000,"5,19",-,"0,00",5710000.0,5.19,,0.0
Công ty Cổ phần Thành Đức Holding,Công ty Cổ phần Thành Đức Holding,Công ty Cổ phần Thành Đức Holding,5.710.000,"5,19",-,"0,00",5710000.0,5.19,,0.0
Bà Đoàn Thị Tơ,Bà Đoàn Thị Tơ,Bà Đoàn Thị Tơ,7.796.666,"7,09",3.898.333,"7,07",7796666.0,7.09,3898333.0,7.07
Bà Tạ Kim Chi,Bà Tạ Kim Chi,Bà Tạ Kim Chi,7.608.868,"6,92",3.804.434,"6,90",7608868.0,6.92,3804434.0,6.9
Ông Đoàn Quang Huy,Ông Đoàn Quang Huy,Ông Đoàn Quang Huy,6.226.760,"5,66",3.113.380,"5,65",6226760.0,5.66,3113380.0,5.65
KWE Beteilgungen AG,KWE Beteilgungen AG,KWE Beteilgungen AG,-,-,5.014.827,"9,10",,,5014827.0,9.1
Cổ đông khác,Cổ đông khác,Cổ đông khác,70.575.860,"64,13",29.251.824,"53,06",70575860.0,64.13,29251824.0,53.06
Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,110.028.154,100,55.122.798,100,110028154.0,100.0,55122798.0,100.0
