row_label_raw,row_label_full,Bà Nguyễn Thị Kim Nhã,Trường ban,numeric__Trường ban
Bà Nguyễn Thị Minh Lan,Bà Nguyễn Thị Minh Lan,Bà Nguyễn Thị Minh Lan,Thành viên,
Bà Nghiêm Thị Thùy Dương,Bà Nghiêm Thị Thùy Dương,Bà Nghiêm Thị Thùy Dương,Thành viên,
