row_label_raw,row_label_full,col_0,col_1,Tại ngày 31/12/2021 > Giá gốc VND,Tại ngày 31/12/2021 > Giá trị hợp lý VND,Tại ngày 31/12/2021 > Dự phòng VND,Tại ngày 31/12/2020 > Giá gốc VND,Tại ngày 31/12/2020 > Giá trị hợp lý VND,Tại ngày 31/12/2020 > Dự phòng VND,numeric__col_1,numeric__Tại ngày 31/12/2021 > Giá gốc VND,numeric__Tại ngày 31/12/2021 > Giá trị hợp lý VND,numeric__Tại ngày 31/12/2021 > Dự phòng VND,numeric__Tại ngày 31/12/2020 > Giá gốc VND,numeric__Tại ngày 31/12/2020 > Giá trị hợp lý VND,numeric__Tại ngày 31/12/2020 > Dự phòng VND
(a),(a),(a),Ngắn hạn,,,,,,,,,,,,,
(i),(i),(i),Đầu tư nấm giữ đến ngày đáo hạn,,,,,,,,,,,,,
(i),(i) > (i),(i),Tiền gửi có kỳ hạn tại ngân hàng thương mại,1.000.000.000,1.000.000.000,-,1.000.000.000,1.000.000.000,-,,1000000000.0,1000000000.0,,1000000000.0,1000000000.0,
(b),(b),(b),Dài hạn,,,,,,,,,,,,,
(i),(i),(i),Đầu tư vào công ty con,,,,,,,,,,,,,
(i),(i) > (i),(i),Công ty Cổ phần Cảng xanh VIP (*),518.850.000.000,1.843.380.000.000,-,518.850.000.000,1.410.750.000.000,-,,518850000000.0,1843380000000.0,,518850000000.0,1410750000000.0,
(i),(i) > (i),(i),Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh (*),80.400.000.000,183.312.000.000,-,80.400.000.000,164.820.000.000,-,,80400000000.0,183312000000.0,,80400000000.0,164820000000.0,
(i),(i) > (i),(i),Công ty Cổ phần Container Miền Trung (*),19.825.000.000,52.932.750.000,-,19.825.000.000,28.548.000.000,-,,19825000000.0,52932750000.0,,19825000000.0,28548000000.0,
(i),(i) > (i),(i),Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,70.000.000.000,(*),-,70.000.000.000,(*),-,,70000000000.0,,,70000000000.0,,
(i),(i) > (i),(i),Công ty TNHH Một thành viên Viconship Hồ Chí Minh,6.000.000.000,(*),-,6.000.000.000,(*),-,,6000000000.0,,,6000000000.0,,
(i),(i) > (i),(i),Công ty TNHH Một thành viên Trung tâm Logistics Xanh,90.000.000.000,(*),-,90.000.000.000,(*),-,,90000000000.0,,,90000000000.0,,
(i),(i) > (i),(i),Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,110.000.000.000,(*),-,110.000.000.000,(*),-,,110000000000.0,,,110000000000.0,,
(i),(i) > (i),(i),,895.075.000.000,2.079.624.750.000,-,895.075.000.000,1.604.118.000.000,-,,895075000000.0,2079624750000.0,,895075000000.0,1604118000000.0,
(ii),(ii),(ii),Đầu tư vào công ty liên kết,,,,,,,,,,,,,
(ii),(ii) > (ii),(ii),Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ (*),80.991.207.286,101.432.300.000,-,80.991.207.286,65.269.480.000,-,,80991207286.0,101432300000.0,,80991207286.0,65269480000.0,
(ii),(ii) > (ii),(ii),Công ty Cổ phần Logistics Cảng Đà Nẵng (*),14.430.000.000,29.970.000.000,-,14.430.000.000,23.310.000.000,-,,14430000000.0,29970000000.0,,14430000000.0,23310000000.0,
(ii),(ii) > (ii),(ii),Công ty TNHH Tuyến Container T.S. Hà Nội,2.002.500.000,(*),-,2.002.500.000,(*),-,,2002500000.0,,,2002500000.0,,
(ii),(ii) > (ii),(ii),Công ty Cổ phần Cảng VIMC Đình Vũ (**),392.492.736.000,(*),-,-,(*),-,,392492736000.0,,,,,
(ii),(ii) > (ii),(ii),,489.916.443.286,131.402.300.000,-,97.423.707.286,88.579.480.000,-,,489916443286.0,131402300000.0,,97423707286.0,88579480000.0,
(iii),(iii),(iii),Đầu tư góp vốn vào đơn vị khác,,,,,,,,,,,,,
(iii),(iii) > (iii),(iii),Công ty TNHH MSC Việt Nam,155.000.000,(*),-,155.000.000,(*),-,,155000000.0,,,155000000.0,,
