row_label_raw,row_label_full,col_0,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021_1,Tại ngày 31 tháng 12 năm 2021_2,Tại ngày 31 tháng 12 năm 2021_3,numeric__Tại ngày 31 tháng 12 năm 2021,numeric__Tại ngày 31 tháng 12 năm 2021_1,numeric__Tại ngày 31 tháng 12 năm 2021_2,numeric__Tại ngày 31 tháng 12 năm 2021_3
,,,Hoạt độngbản hàng hóaVND,Hoạt độngcung cấp dịch vụVND,Hoạt độngđầu tư tài chínhVND,Tổng cộngVND,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,,,,
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Hàng tồn kho,Trong đó: > Hàng tồn kho,Hàng tồn kho,1.214.274.739,-,-,1.214.274.739,1214274739.0,,,1214274739.0
Phải thu ngắn hạn của khách hàng,Trong đó: > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,-,40.019.688.716,-,40.019.688.716,,40019688716.0,,40019688716.0
Phải thu về cho vay,Trong đó: > Phải thu về cho vay,Phải thu về cho vay,-,-,4.315.789.484,4.315.789.484,,,4315789484.0,4315789484.0
Đầu tư vào công ty con,Trong đó: > Đầu tư vào công ty con,Đầu tư vào công ty con,-,-,895.075.000.000,895.075.000.000,,,895075000000.0,895075000000.0
Đầu tư vào công ty liên kết,Trong đó: > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,-,-,489.916.443.286,489.916.443.286,,,489916443286.0,489916443286.0
Đầu tư dài hạn khác,Trong đó: > Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,155.000.000,155.000.000,,,155000000.0,155000000.0
Tổng tài sản phân bổ,Trong đó: > Tổng tài sản phân bổ,Tổng tài sản phân bổ,1.214.274.739,40.019.688.716,1.389.462.232.770,1.430.696.196.225,1214274739.0,40019688716.0,1389462232770.0,1430696196225.0
Tài sản không phân bổ,Trong đó: > Tài sản không phân bổ,Tài sản không phân bổ,,,,685.672.020.260,,,,685672020260.0
Tổng tài sản,Trong đó: > Tổng tài sản,Tổng tài sản,,,,2.116.368.216.485,,,,2116368216485.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,,,,
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Phải trả người bán ngắn hạn,Trong đó: > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,-,3.756.088.527,-,3.756.088.527,,3756088527.0,,3756088527.0
Người mua trả tiền trước ngắn hạn,Trong đó: > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,-,1.767.719.458,-,1.767.719.458,,1767719458.0,,1767719458.0
Phải trả ngắn hạn khác,Trong đó: > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,-,91.793.032.787,-,91.793.032.787,,91793032787.0,,91793032787.0
Tổng nợ phải trả phân bổ,Trong đó: > Tổng nợ phải trả phân bổ,Tổng nợ phải trả phân bổ,-,97.316.840.772,-,97.316.840.772,,97316840772.0,,97316840772.0
Nợ phải trả không phân bổ,Trong đó: > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,14.493.820.657,,,,14493820657.0
Tổng nợ phải trả,Trong đó: > Tổng nợ phải trả,Tổng nợ phải trả,,,,111.810.661.429,,,,111810661429.0
