row_label_raw,row_label_full,Mã số,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 VND,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01 Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01 Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,01 Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,01 Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,250.855.748.088,87.479.619.634,,250855748088.0,87479619634.0
"02 Khấu hao tài sản cố định (""TSCĐ"")","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02 Khấu hao tài sản cố định (""TSCĐ"")","02 Khấu hao tài sản cố định (""TSCĐ"")","02 Khấu hao tài sản cố định (""TSCĐ"")",2.536.137.381,5.360.039.190,,2536137381.0,5360039190.0
03 Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03 Các khoản dự phòng,03 Các khoản dự phòng,03 Các khoản dự phòng,1.212.458.500,-,,1212458500.0,
04 Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04 Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,04 Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,04 Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,(312.562.978),(207.009.808),,-312562978.0,-207009808.0
05 Lãi từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05 Lãi từ hoạt động đầu tư,05 Lãi từ hoạt động đầu tư,05 Lãi từ hoạt động đầu tư,(246.065.779.054),(86.212.580.076),,-246065779054.0,-86212580076.0
08 Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08 Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08 Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08 Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,8.226.001.937,6.420.068.940,,8226001937.0,6420068940.0
09 Giảm các khoản phải thu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09 Giảm các khoản phải thu,09 Giảm các khoản phải thu,09 Giảm các khoản phải thu,82.629.622.496,58.568.593.162,,82629622496.0,58568593162.0
10 (Tăng)/giảm hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10 (Tăng)/giảm hàng tồn kho,10 (Tăng)/giảm hàng tồn kho,10 (Tăng)/giảm hàng tồn kho,(747.452.045),7.257.545.874,,-747452045.0,7257545874.0
11 Tăng các khoản phải trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11 Tăng các khoản phải trả,11 Tăng các khoản phải trả,11 Tăng các khoản phải trả,48.965.184.589,13.590.181.421,,48965184589.0,13590181421.0
