row_label_raw,row_label_full,(i),Phải thu ngắn hạn của khách hàng (Thuyết minh 4),31/12/2021VND,31/12/2020VND,numeric__Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__31/12/2021VND,numeric__31/12/2020VND
(i),(i),(i),Công ty Cổ phần Cảng Xanh VIP,2.664.780.272,2.114.268.985,,2664780272.0,2114268985.0
(i),(i),(i),Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,3.692.753.784,6.541.529.291,,3692753784.0,6541529291.0
(i),(i),(i),Công ty Cổ phần Container Miền Trung,9.436.000,20.964.857,,9436000.0,20964857.0
(i),(i),(i),Công ty TNHH Một thành viên Trung tâm Logistics Xanh,3.010.204.566,833.853.883,,3010204566.0,833853883.0
(i),(i),(i),Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,4.631.826.063,4.523.259.098,,4631826063.0,4523259098.0
(i),(i),(i),,14.009.000.685,14.033.876.114,,14009000685.0,14033876114.0
(ii),(ii),(ii),Phải thu về cho vay ngắn hạn (Thuyết minh 5(a)),,,,,
(ii),(ii) > (ii),(ii),Công ty Cổ phần Container Miền Trung,1.789.473.698,3.105.263.168,,1789473698.0,3105263168.0
(ii),(ii) > (ii),(ii),Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,-,4.040.404.039,,,4040404039.0
(ii),(ii) > (ii),(ii),Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,-,5.540.740.740,,,5540740740.0
(ii),(ii) > (ii),(ii),,1.789.473.698,12.686.407.947,,1789473698.0,12686407947.0
(iii),(iii),(iii),Phải thu về cho vay dài hạn (Thuyết minh 5(b)),,,,,
(iii),(iii) > (iii),(iii),Công ty Cổ phần Container Miền Trung,2.526.315.786,6.421.052.636,,2526315786.0,6421052636.0
(iii),(iii) > (iii),(iii),Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,-,1.666.666.660,,,1666666660.0
(iii),(iii) > (iii),(iii),Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,-,9.696.296.298,,,9696296298.0
(iii),(iii) > (iii),(iii),,2.526.315.786,17.784.015.594,,2526315786.0,17784015594.0
(iv),(iv),(iv),Phải thu ngắn hạn khác (Thuyết minh 6),,,,,
(iv),(iv) > (iv),(iv),Công ty TNHH Một thành viên Trung tâm Logistics Xanh,13.268.922.358,29.020.191.760,,13268922358.0,29020191760.0
(iv),(iv) > (iv),(iv),Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,625.925.866,16.187.173.979,,625925866.0,16187173979.0
(iv),(iv) > (iv),(iv),Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,-,1.823.456.190,,,1823456190.0
(iv),(iv) > (iv),(iv),Công ty Cổ phần Container Miền Trung,-,9.889.603,,,9889603.0
(iv),(iv) > (iv),(iv),,13.894.848.224,47.040.711.532,,13894848224.0,47040711532.0
(v),(v),(v),Phải trả người bán ngắn hạn (Thuyết minh 9),,,,,
(v),(v) > (v),(v),Công ty Cổ phần Cảng Xanh VIP,-,7.084.000,,,7084000.0
(v),(v) > (v),(v),Công ty Cổ phần Container Miền Trung,64.001.600,42.644.001,,64001600.0,42644001.0
(v),(v) > (v),(v),Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,-,4.720.728.515,,,4720728515.0
(v),(v) > (v),(v),Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,50.834.253,26.497.500,,50834253.0,26497500.0
(v),(v) > (v),(v),Công ty TNHH Một thành viên Trung tâm Logistics Xanh,1.804.150.200,-,,1804150200.0,
(v),(v) > (v),(v),,1.918.986.053,4.796.954.016,,1918986053.0,4796954016.0
(vi),(vi),(vi),Phải trả ngắn hạn khác (Thuyết minh 12),,,,,
(vi),(vi) > (vi),(vi),Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,18.119.490.998,5.058.402.631,,18119490998.0,5058402631.0
