row_label_raw,row_label_full,col_0,"Nơi thành lập, đăng ký hoạt động",31.12.2021,31.12.2021_1,31.12.2020,31.12.2020_1,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__31.12.2021,numeric__31.12.2021_1,numeric__31.12.2020,numeric__31.12.2020_1
,,,"Nơi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu,Tỷ lệ biểu quyết nắm giữ,Tỷ lệ sở hữu,Tỷ lệ biểu quyết nắm giữ,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,
1) Công ty Cổ phần Cảng Xanh VIP,Công ty con > 1) Công ty Cổ phần Cảng Xanh VIP,1) Công ty Cổ phần Cảng Xanh VIP,Hải Phòng,74%,74%,74%,74%,,0.74,0.74,0.74,0.74
2) Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,Công ty con > 2) Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,2) Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,Hải Phòng,66%,66%,66%,66%,,0.66,0.66,0.66,0.66
3) Công ty Cổ phần Container Miền Trung,Công ty con > 3) Công ty Cổ phần Container Miền Trung,3) Công ty Cổ phần Container Miền Trung,Đà Nẵng,65%,65%,65%,65%,,0.65,0.65,0.65,0.65
4) Công ty TNHH Một thành viên Vận tải biển Ngôi Sao Xanh,Công ty con > 4) Công ty TNHH Một thành viên Vận tải biển Ngôi Sao Xanh,4) Công ty TNHH Một thành viên Vận tải biển Ngôi Sao Xanh,Hải Phòng,100%,100%,100%,100%,,1.0,1.0,1.0,1.0
5) Công ty TNHH Một thành viên Trung tâm Logistics Xanh,Công ty con > 5) Công ty TNHH Một thành viên Trung tâm Logistics Xanh,5) Công ty TNHH Một thành viên Trung tâm Logistics Xanh,Hải Phòng,100%,100%,100%,100%,,1.0,1.0,1.0,1.0
6) Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,Công ty con > 6) Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,6) Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,Hải Phòng,100%,100%,100%,100%,,1.0,1.0,1.0,1.0
