row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Năm tài chính kết thúc ngày 31 tháng 12 năm 2021_1,Năm tài chính kết thúc ngày 31 tháng 12 năm 2021_2,Năm tài chính kết thúc ngày 31 tháng 12 năm 2021_3,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2021,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2021_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2021_2,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2021_3
,,,Hoạt độngbán hàng hóaVND,Hoạt độngcung cấp dịch vụVND,Hoạt độngđầu tư tài chínhVND,Tổng cộngVND,,,,
Doanh thu và thu nhập,Doanh thu và thu nhập,Doanh thu và thu nhập,90.267.332.430(85.472.587.085),72.301.127.998(51.800.344.804),247.638.758.846(113.441.685),410.207.219.274(137.386.373.574),,,,
Tổng cộng,Doanh thu và thu nhập > Tổng cộng,Tổng cộng,4.794.745.345,20.500.783.194,247.525.317.161,272.820.845.700,4794745345.0,20500783194.0,247525317161.0,272820845700.0
Chi phí chung không phân bổ,Doanh thu và thu nhập > Chi phí chung không phân bổ,Chi phí chung không phân bổ,,,,(21.965.097.612),,,,-21965097612.0
Tổng lợi nhuận kế toán trước thuế,Doanh thu và thu nhập > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,,,,250.855.748.088,,,,250855748088.0
,,,Năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Năm tài chính kết thúc ngày 31 tháng 12 năm 2020,,,,
,,,Hoạt độngbán hàng hóaVND,Hoạt độngcung cấp dịch vụVND,Hoạt độngđầu tư tài chínhVND,Tổng cộngVND,,,,
Doanh thu và thu nhập,Doanh thu và thu nhập,Doanh thu và thu nhập,66.519.455.931(63.598.728.494),50.899.803.743(42.873.711.531),90.173.908.867(59.820.936),207.593.168.541(106.532.260.961),,,,
Chi phí hoạt động trực tiếp,Chi phí hoạt động trực tiếp,Chi phí hoạt động trực tiếp,,,,,,,,
Tổng cộng,Chi phí hoạt động trực tiếp > Tổng cộng,Tổng cộng,2.920.727.437,8.026.092.212,90.114.087.931,101.060.907.580,2920727437.0,8026092212.0,90114087931.0,101060907580.0
Chi phí chung không phân bổ,Chi phí hoạt động trực tiếp > Chi phí chung không phân bổ,Chi phí chung không phân bổ,,,,(13.581.287.946),,,,-13581287946.0
Tổng lợi nhuận kế toán trước thuế,Chi phí hoạt động trực tiếp > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,,,,87.479.619.634,,,,87479619634.0
