row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tàiVND,Thiết bịquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tàiVND,numeric__Thiết bịquản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,21.784.803.233,434.647.000,44.104.652.209,1.426.093.499,67.750.195.941,21784803233.0,434647000.0,44104652209.0,1426093499.0,67750195941.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,-,1.478.461.818,159.081.818,1.637.543.636,,,1478461818.0,159081818.0,1637543636.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(4.458.706.036),-,(4.458.706.036),,,-4458706036.0,,-4458706036.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,21.784.803.233,434.647.000,41.124.407.991,1.585.175.317,64.929.033.541,21784803233.0,434647000.0,41124407991.0,1585175317.0,64929033541.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,(13.609.047.504),(434.647.000),(35.347.674.341),(935.464.014),(50.326.832.859),-13609047504.0,-434647000.0,-35347674341.0,-935464014.0,-50326832859.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(794.924.678),-,(1.444.271.172),(220.397.047),(2.459.592.897),-794924678.0,,-1444271172.0,-220397047.0,-2459592897.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,-,4.458.706.036,-,4.458.706.036,,,4458706036.0,,4458706036.0
Tại ngày 31 tháng 12 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,(14.403.972.182),(434.647.000),(32.333.239.477),(1.155.861.061),(48.327.719.720),-14403972182.0,-434647000.0,-32333239477.0,-1155861061.0,-48327719720.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,8.175.755.729,-,8.756.977.868,490.629.485,17.423.363.082,8175755729.0,,8756977868.0,490629485.0,17423363082.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,7.380.831.051,-,8.791.168.514,429.314.256,16.601.313.821,7380831051.0,,8791168514.0,429314256.0,16601313821.0
