row_label_raw,row_label_full,col_0,31/12/2018Triệu đồng,%,31/12/2017Triệu đồng,%_1,numeric__31/12/2018Triệu đồng,numeric__%,numeric__31/12/2017Triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,44.132.798,"4,54%",37.682.054,"4,46%",44132798.0,0.0454,37682054.0,0.0446
Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,55.482.382,"5,71%",55.584.022,"6,58%",55482382.0,0.0571,55584022.0,0.0658
Công ty TNHH 02 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH 02 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH 02 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,155.817,"0,02%",148.835,"0,02%",155817.0,0.0002,148835.0,0.0002
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,87.523.087,"9,00%",33.900.532,"4,01%",87523087.0,0.09,33900532.0,0.0401
Công ty cổ phần có vốn cổ phần của Nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền phần biểu quyết hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của Nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền phần biểu quyết hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của Nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền phần biểu quyết hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,48.775.978,"5,02%",40.866.945,"4,84%",48775978.0,0.050199999999999995,40866945.0,0.0484
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,70.787.930,"7,28%",62.352.116,"7,38%",70787930.0,0.0728,62352116.0,0.0738
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,58.506,"0,01%",26.712,"0,00%",58506.0,0.0001,26712.0,0.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,705.774,"0,07%",928.403,"0,11%",705774.0,0.0007000000000000001,928403.0,0.0011
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,30.750.115,"3,16%",27.054.057,"3,20%",30750115.0,0.0316,27054057.0,0.032
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,492.208,"0,05%",644.585,"0,08%",492208.0,0.0005,644585.0,0.0008
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",563.929.136,"58,00%",462.736.444,"54,77%",563929136.0,0.58,462736444.0,0.5477000000000001
"Đơn vị hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội",28.102.558,"2,89%",20.676.385,"2,45%",28102558.0,0.028900000000000002,20676385.0,0.0245
Khác,Khác,Khác,41.461.416,"4,25%",102.230.057,"12,10%",41461416.0,0.0425,102230057.0,0.121
,,,972.357.705,"100,00%",844.831.147,"100,00%",972357705.0,1.0,844831147.0,1.0
