row_label_raw,row_label_full,Tên công ty,ĐKKD/QĐ thành lập,Ngành nghề hoạt động,% sở hữu,numeric__ĐKKD/QĐ thành lập,numeric__Ngành nghề hoạt động,numeric__% sở hữu
"Công ty TNHH Quản lý Nợ và Khai thác Tài sản BIDV (""BAMC"")","Công ty TNHH Quản lý Nợ và Khai thác Tài sản BIDV (""BAMC"")","Công ty TNHH Quản lý Nợ và Khai thác Tài sản BIDV (""BAMC"")",0101196750 ngày 14 tháng 05 năm 2018 của Sở Kế hoạch và Đầu tư thành phố Hà Nội,Tài chính/ Ngân hàng,"100,00%",,,1.0
"Công ty Cổ phần Chứng khoán BIDV (""BSC"")","Công ty Cổ phần Chứng khoán BIDV (""BSC"")","Công ty Cổ phần Chứng khoán BIDV (""BSC"")",111/GP-UBCK ngày 31 tháng 12 năm 2010 của Ủy ban Chứng khoán Nhà nước,Chứng khoán,"79,94%",,,0.7994
"Tổng Công ty Cổ phần Bảo hiểm BIDV (""BIC"")","Tổng Công ty Cổ phần Bảo hiểm BIDV (""BIC"")","Tổng Công ty Cổ phần Bảo hiểm BIDV (""BIC"")",11/GPĐC16/KDBH ngày 06 tháng 01 năm 2016 của Bộ Tài chính,Bảo hiểm,"51,00%",,,0.51
"Công ty TNHH BIDV Quốc tế (""BIDVI"")","Công ty TNHH BIDV Quốc tế (""BIDVI"")","Công ty TNHH BIDV Quốc tế (""BIDVI"")",39283570-000-04-08-8 ngày 17 tháng 04 năm 2008 tại Hồng Kông và Giấy chứng nhận đầu tư số 111/BKH- ĐTRNN ngày 20 tháng 3 năm 2008 của Bộ Kế hoạch và Đầu tư,Tài chính,"100,00%",,,1.0
"Công ty Cổ phần Chứng khoán MHB (""MHBS"")","Công ty Cổ phần Chứng khoán MHB (""MHBS"")","Công ty Cổ phần Chứng khoán MHB (""MHBS"")",45/UBCK-GPHĐKD ngày 28 tháng 12 năm 2006 của Ủy ban Chứng khoán Nhà nước,Chứng khoán,"60,00%",,,0.6
"Công ty TNHH Đầu tư Phát triển Quốc tế (""IIDC"")","Công ty TNHH Đầu tư Phát triển Quốc tế (""IIDC"")","Công ty TNHH Đầu tư Phát triển Quốc tế (""IIDC"")",0105094855 ngày 31 tháng 12 năm 2010 của Sở Kế hoạch và Đầu tư Thành phố Hà Nội,Tài chính,"100,00%",,,1.0
"Công ty TNHH Đầu tư và Phát triển Campuchia (""IDCC"") (*)","Công ty TNHH Đầu tư và Phát triển Campuchia (""IDCC"") (*)","Công ty TNHH Đầu tư và Phát triển Campuchia (""IDCC"") (*)",5948/09E ngày 02 tháng 07 năm 2009 của Bộ Thương mại Campuchia,Tài chính,"100,00%",,,1.0
"Ngân hàng Đầu tư và Phát triển Campuchia (""BIDC"") (*)","Ngân hàng Đầu tư và Phát triển Campuchia (""BIDC"") (*)","Ngân hàng Đầu tư và Phát triển Campuchia (""BIDC"") (*)",B7.09.148 ngày 14 tháng 08 năm 2009 của Ngân hàng Quốc gia Campuchia,Tài chính/ Ngân hàng,"98,50%",,,0.985
"Công ty Liên doanh Bảo hiểm Lào Việt (""LVI"") (*)","Công ty Liên doanh Bảo hiểm Lào Việt (""LVI"") (*)","Công ty Liên doanh Bảo hiểm Lào Việt (""LVI"") (*)",077-08/ĐT ngày 09 tháng 6 năm 2008 do Bộ Kế hoạch Đầu tư của nước CHDCND Lào cấp,Bảo hiểm,"33,15%",,,0.33149999999999996
"Ngân Hàng Liên Doanh Lào Việt (""LVB"")","Ngân Hàng Liên Doanh Lào Việt (""LVB"")","Ngân Hàng Liên Doanh Lào Việt (""LVB"")",985-326 ngày 10 tháng 06 năm 1999 và bản sửa đổi bổ sung mới nhất số 004-15/KH-ĐT4 ngày 24 tháng 8 năm 2015 do Ủy Ban Quản lý Đầu tư Nước ngoài của CHDCND Lào cấp,Ngân hàng,"65,00%",,,0.65
"Công ty Cho thuê Tài chính TNHH BIDV Sumi- Trust (""BSL"")","Công ty Cho thuê Tài chính TNHH BIDV Sumi- Trust (""BSL"")","Công ty Cho thuê Tài chính TNHH BIDV Sumi- Trust (""BSL"")",0100777569 ngày 19 tháng 5 năm 2017 của Sở Kế hoạch và Đầu tư thành phố Hồ Chí Minh,Cho thuê Tài chính,"50,00%",,,0.5
Công ty Chứng khoán Campuchia - Việt Nam (*),Công ty Chứng khoán Campuchia - Việt Nam (*),Công ty Chứng khoán Campuchia - Việt Nam (*),005.SECC/BLPH ngày 20 tháng 10 năm 2010 của Ủy ban Chứng khoán Campuchia,Chứng khoán,"98,50%",,,0.985
Công ty Bảo hiểm Campuchia – Việt Nam (*),Công ty Bảo hiểm Campuchia – Việt Nam (*),Công ty Bảo hiểm Campuchia – Việt Nam (*),Đăng ký số Co. 6037/09E ngày 06 tháng 08 năm 2009 của Bộ Thương mại Campuchia,Bảo hiểm,"50,23%",,,0.5023
