row_label_raw,row_label_full,EUR được quy đổi Triệu đồng,USD được quy đổi Triệu đồng,Các loại ngoại tệ khác quy đổi Triệu đồng,Tổng cộng Triệu đồng,numeric__USD được quy đổi Triệu đồng,numeric__Các loại ngoại tệ khác quy đổi Triệu đồng,numeric__Tổng cộng Triệu đồng
740.354,740.354,740.354,1.621.949,749.748,3.112.051,1621949.0,749748.0,3112051.0
-,-,-,3.731.444,-,3.731.444,3731444.0,,3731444.0
4.043.150,4.043.150,4.043.150,31.328.890,1.086.827,36.458.867,31328890.0,1086827.0,36458867.0
1.514.645,1.514.645,1.514.645,-,-,1.514.645,,,1514645.0
758.812,758.812,758.812,61.082.349,298.197,62.139.358,61082349.0,298197.0,62139358.0
-,-,-,7.381,-,7.381,7381.0,,7381.0
-,-,-,16.888,-,16.888,16888.0,,16888.0
17.617,17.617,17.617,3.743.457,4.223,3.765.297,3743457.0,4223.0,3765297.0
7.074.578,7.074.578,7.074.578,101.532.358,2.138.995,110.745.931,101532358.0,2138995.0,110745931.0
4.626.116,4.626.116,4.626.116,58.528.491,267.319,63.421.926,58528491.0,267319.0,63421926.0
2.109.653,2.109.653,2.109.653,33.662.321,325.548,36.097.522,33662321.0,325548.0,36097522.0
-,-,-,3.251.242,1.180.594,4.431.836,3251242.0,1180594.0,4431836.0
278.226,278.226,278.226,755.241,5.733,1.039.200,755241.0,5733.0,1039200.0
-,-,-,2.753,-,2.753,2753.0,,2753.0
21.846,21.846,21.846,2.563.994,15.136,2.600.976,2563994.0,15136.0,2600976.0
7.035.841,7.035.841,7.035.841,98.764.042,1.794.330,107.594.213,98764042.0,1794330.0,107594213.0
38.737,38.737,38.737,2.768.316,344.665,3.151.718,2768316.0,344665.0,3151718.0
(114.076),(114.076),(114.076),(1.322.681),(303.687),(1.740.444),-1322681.0,-303687.0,-1740444.0
(75.339),(75.339),(75.339),1.445.635,40.978,1.411.274,1445635.0,40978.0,1411274.0
