row_label_raw,row_label_full,col_0,Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập BCTC) > Tài sảnTriệu đồng,Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập BCTC) > Công nợTriệu đồng,Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập BCTC) > Giá trị thuầnTriệu đồng,numeric__Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập BCTC) > Tài sảnTriệu đồng,numeric__Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập BCTC) > Công nợTriệu đồng,numeric__Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập BCTC) > Giá trị thuầnTriệu đồng
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,30.453.313,(30.303.871),149.442,30453313.0,-30303871.0,149442.0
- Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,4.660.621,(4.623.051),37.570,4660621.0,-4623051.0,37570.0
- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,25.792.692,(25.680.820),111.872,25792692.0,-25680820.0,111872.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,50.998,(50.318),680,50998.0,-50318.0,680.0
Hoán đổi lãi suất,Hoán đổi lãi suất,Hoán đổi lãi suất,50.998,(50.318),680,50998.0,-50318.0,680.0
,,,30.504.311,(30.354.189),150.122,30504311.0,-30354189.0,150122.0
