row_label_raw,row_label_full,col_0,2018Triệu đồng,2017Triệu đồng,numeric__2018Triệu đồng,numeric__2017Triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,5.081.791,4.504.210,5081791.0,4504210.0
Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,4.213.215,3.516.472,4213215.0,3516472.0
Thu nhập về các công cụ tài chính phải sinh khác,Thu nhập về các công cụ tài chính phải sinh khác,Thu nhập về các công cụ tài chính phải sinh khác,685.661,767.660,685661.0,767660.0
Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,-,8.982,,8982.0
Thu khác,Thu khác,Thu khác,182.915,211.096,182915.0,211096.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(1.509.893),(1.305.613),-1509893.0,-1305613.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(762.296),(662.665),-762296.0,-662665.0
Chi hỗ trợ công tác xã hội,Chi hỗ trợ công tác xã hội,Chi hỗ trợ công tác xã hội,(200.284),(284.871),-200284.0,-284871.0
Chi nộp thuế GTGT đầu vào không được khấu trừ,Chi nộp thuế GTGT đầu vào không được khấu trừ,Chi nộp thuế GTGT đầu vào không được khấu trừ,(259.906),(225.591),-259906.0,-225591.0
Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,(287.407),(132.486),-287407.0,-132486.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,3.571.898,3.198.597,3571898.0,3198597.0
