row_label_raw,row_label_full,Số dư đầu năm > Dự phòng trích trong năm (xem thuyết minh số 31) > Xử lý rủi ro trong năm,31/12/2018Triệu đồng > 372.238 > 26.612 > -,31/12/2017Triệu đồng > 372.377 > 2.707 > (2.846),numeric__31/12/2018Triệu đồng > 372.238 > 26.612 > -,numeric__31/12/2017Triệu đồng > 372.377 > 2.707 > (2.846)
Tăng khác,Tăng khác,Tăng khác,520,-,520.0,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,399.370,372.238,399370.0,372238.0
