row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Phải thuTriệu đồng,Phải trảTriệu đồng,numeric__Các giao dịch,numeric__Phải thuTriệu đồng,numeric__Phải trảTriệu đồng
Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Tiền gửi tại cơ quan quản lý,46.672.466,-,,46672466.0,
Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Tiền gửi của cơ quan quản lý,-,(94.060.015),,,-94060015.0
Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Các khoản vay từ cơ quan quản lý,-,(10.701.253),,,-10701253.0
Các công ty con,Các công ty con,Các công ty con,Tiền gửi tại Ngân hàng của các công ty con,-,(4.337.977),,,-4337977.0
Các công ty con,Các công ty con,Các công ty con,Tiền gửi của Ngân hàng tại các công ty con,6.712.373,-,,6712373.0,
Các công ty con,Các công ty con,Các công ty con,Tiền Ngân hàng vay của các công ty con,-,(26.860),,,-26860.0
Các công ty con,Các công ty con,Các công ty con,Phải thu các công ty con,272.000,-,,272000.0,
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Tiền gửi của các công ty liên doanh,-,(1.328.561),,,-1328561.0
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Tiền gửi của Ngân hàng tại các công ty liên doanh,2.140.958,-,,2140958.0,
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Tiền vay từ Ngân hàng của các công ty liên doanh,135.960,-,,135960.0,
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Tiền gửi tại Ngân hàng của các công ty liên kết,-,(973.297),,,-973297.0
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Tiền vay từ Ngân hàng của các công ty liên kết,793.654,-,,793654.0,
