row_label_raw,row_label_full,col_0,31/12/2018Triệu VND,Tỷ lệ góp vốn %,31/12/2017Triệu VND,Tỷ lệ góp vốn %_1,numeric__31/12/2018Triệu VND,numeric__Tỷ lệ góp vốn %,numeric__31/12/2017Triệu VND,numeric__Tỷ lệ góp vốn %_1
Công ty TNHH Đầu tư Phát triển Quốc tế,Công ty TNHH Đầu tư Phát triển Quốc tế,Công ty TNHH Đầu tư Phát triển Quốc tế,2.578.175,"100,00",2.578.175,"100,00",2578175.0,100.0,2578175.0,100.0
Ngân hàng Liên doanh Lào Việt,Ngân hàng Liên doanh Lào Việt,Ngân hàng Liên doanh Lào Việt,1.294.466,"65,00",1.294.466,"65,00",1294466.0,65.0,1294466.0,65.0
Công ty Cho thuê Tài chính TNHH BIDV – Sumi TRUST,Công ty Cho thuê Tài chính TNHH BIDV – Sumi TRUST,Công ty Cho thuê Tài chính TNHH BIDV – Sumi TRUST,447.813,"50,00",447.813,"50,00",447813.0,50.0,447813.0,50.0
Công ty TNHH Quản lý Nợ và Khai thác Tài sản BIDV,Công ty TNHH Quản lý Nợ và Khai thác Tài sản BIDV,Công ty TNHH Quản lý Nợ và Khai thác Tài sản BIDV,100.000,"100,00",30.000,"100,00",100000.0,100.0,30000.0,100.0
Công ty Cổ phần Chứng khoán BIDV,Công ty Cổ phần Chứng khoán BIDV,Công ty Cổ phần Chứng khoán BIDV,762.254,"79,94",762.254,"88,12",762254.0,79.94,762254.0,88.12
Công ty Cổ phần Bảo hiểm BIDV,Công ty Cổ phần Bảo hiểm BIDV,Công ty Cổ phần Bảo hiểm BIDV,544.826,"51,00",544.826,"51,00",544826.0,51.0,544826.0,51.0
Công ty Cổ phần Chứng khoán MHB,Công ty Cổ phần Chứng khoán MHB,Công ty Cổ phần Chứng khoán MHB,102.000,"60,00",102.000,"60,00",102000.0,60.0,102000.0,60.0
Công ty TNHH BIDV Quốc tế (*),Công ty TNHH BIDV Quốc tế (*),Công ty TNHH BIDV Quốc tế (*),-,"100,00",-,"100,00",,100.0,,100.0
,,,5.829.534,,5.759.534,,5829534.0,,5759534.0,
Dự phòng giảm giá đầu tư vào công ty con,Dự phòng giảm giá đầu tư vào công ty con,Dự phòng giảm giá đầu tư vào công ty con,(113.375),,(108.927),,-113375.0,,-108927.0,
,,,5.716.159,,5.650.607,,5716159.0,,5650607.0,
