row_label_raw,row_label_full,col_0,2018Triệu đồng,2017Triệu đồng,numeric__2018Triệu đồng,numeric__2017Triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,5.012.060,3.950.336,5012060.0,3950336.0
Hoạt động thanh toán,Hoạt động thanh toán,Hoạt động thanh toán,2.958.630,2.245.541,2958630.0,2245541.0
Hoạt động ngân quỹ,Hoạt động ngân quỹ,Hoạt động ngân quỹ,98.999,67.401,98999.0,67401.0
Dịch vụ đại lý,Dịch vụ đại lý,Dịch vụ đại lý,105.660,106.137,105660.0,106137.0
Dịch vụ khác,Dịch vụ khác,Dịch vụ khác,1.848.771,1.531.257,1848771.0,1531257.0
Chi phí từ hoạt động dịch vụ,Chi phí từ hoạt động dịch vụ,Chi phí từ hoạt động dịch vụ,(2.005.138),(1.510.903),-2005138.0,-1510903.0
Hoạt động thanh toán,Hoạt động thanh toán,Hoạt động thanh toán,(567.385),(311.577),-567385.0,-311577.0
Hoạt động ngân quỹ,Hoạt động ngân quỹ,Hoạt động ngân quỹ,(265.515),(219.271),-265515.0,-219271.0
"Bưu điện, viễn thông","Bưu điện, viễn thông","Bưu điện, viễn thông",(128.860),(119.908),-128860.0,-119908.0
Dịch vụ đại lý,Dịch vụ đại lý,Dịch vụ đại lý,(871),(843),-871.0,-843.0
Dịch vụ khác,Dịch vụ khác,Dịch vụ khác,(1.042.507),(859.304),-1042507.0,-859304.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,3.006.922,2.439.433,3006922.0,2439433.0
