row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,TSCĐ vô hình khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__TSCĐ vô hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.020.350,1.260.783,1.437,5.282.570,4020350.0,1260783.0,1437.0,5282570.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,4.425,48.058,-,52.483,4425.0,48058.0,,52483.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,(1.013),32.105,-,31.092,-1013.0,32105.0,,31092.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.510),-,(1.510),,-1510.0,,-1510.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.023.762,1.339.436,1.437,5.364.635,4023762.0,1339436.0,1437.0,5364635.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,260.605,788.588,131,1.049.324,260605.0,788588.0,131.0,1049324.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,30.215,150.213,72,180.500,30215.0,150213.0,72.0,180500.0
Tăng/(giảm) khác,Giá trị hao mòn lũy kế > Tăng/(giảm) khác,Tăng/(giảm) khác,(124),1.178,-,1.054,-124.0,1178.0,,1054.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.415),-,(1.415),,-1415.0,,-1415.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,290.696,938.564,203,1.229.463,290696.0,938564.0,203.0,1229463.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.759.745,472.195,1.306,4.233.246,3759745.0,472195.0,1306.0,4233246.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.733.066,400.872,1.234,4.135.172,3733066.0,400872.0,1234.0,4135172.0
