row_label_raw,row_label_full,Tài sản
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý"
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN
Tiền gửi tài và cho vay các TCTD khác (*),Tiền gửi tài và cho vay các TCTD khác (*),Tiền gửi tài và cho vay các TCTD khác (*)
Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*)
Công cụ tài chính phải sinh và các tài sản,Công cụ tài chính phải sinh và các tài sản,Công cụ tài chính phải sinh và các tài sản
tài chính khác,tài chính khác,tài chính khác
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*)
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*)
"Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)"
Tài sản cố định,Tài sản cố định,Tài sản cố định
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*)
Tổng tài sản,Tổng tài sản,Tổng tài sản
Nợ phải trả,Nợ phải trả,Nợ phải trả
Tiền gửi và vay từ NHNN và các TCTD khác,Tiền gửi và vay từ NHNN và các TCTD khác,Tiền gửi và vay từ NHNN và các TCTD khác
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro"
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả
Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng
(*): Không bao gồm dự phòng rủi ro,(*): Không bao gồm dự phòng rủi ro,(*): Không bao gồm dự phòng rủi ro
