row_label_raw,row_label_full,Họ và tên,Chức vụ,numeric__Chức vụ
Ông Phan Đức Tú,Ông Phan Đức Tú,Ông Phan Đức Tú,Chủ tịch HĐQT (bổ nhiệm ngày 15/11/2018)Ủy viên (miễn nhiệm ngày 15/11/2018 để bổ nhiệm Chủ tịch HĐQT),
Ông Bùi Quang Tiên,Ông Bùi Quang Tiên,Ông Bùi Quang Tiên,Ủy viênỦy viên phụ trách điều hành hoạt động của HĐQT (từ ngày 01/05/2018 đến ngày 15/11/2018),
Ông Trần Anh Tuấn,Ông Trần Anh Tuấn,Ông Trần Anh Tuấn,Ủy viên phụ trách điều hành hoạt động của HĐQT (nghĩ hưu theo chế độ từ ngày 01/05/2018),
Bà Phan Thị Chinh,Bà Phan Thị Chinh,Bà Phan Thị Chinh,Ủy viên,
Ông Ngò Văn Dũng,Ông Ngò Văn Dũng,Ông Ngò Văn Dũng,Ủy viên,
Bà Lê Thị Kim Khuyên,Bà Lê Thị Kim Khuyên,Bà Lê Thị Kim Khuyên,Ủy viên (nghĩ hưu theo chế độ từ ngày 01/04/2018),
Ông Nguyễn Văn Lộc,Ông Nguyễn Văn Lộc,Ông Nguyễn Văn Lộc,Ủy viên,
Ông Trần Thanh Vân,Ông Trần Thanh Vân,Ông Trần Thanh Vân,Ủy viên,
Ông Lê Việt Cường,Ông Lê Việt Cường,Ông Lê Việt Cường,Ủy viên độc lập,
Ông Phạm Quang Tùng,Ông Phạm Quang Tùng,Ông Phạm Quang Tùng,Ủy viên (bổ nhiệm ngày 21/04/2018),
