row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Triệu đồng,numeric__Các giao dịch,numeric__Triệu đồng
Cơ quanquản lýNhà nước,Cơ quanquản lýNhà nước,Cơ quanquản lýNhà nước,Tăng tiền gửi của Ngân hàng tại cơ quan quản lýTăng tiền gửi của cơ quan quản lý tại Ngân hàngGiảm khoản vay của Ngân hàng từ cơ quan quản lý,20.880.42830.367.093(2.085.596),,
Các công ty con,Các công ty con,Các công ty con,Tăng tiền gửi tại Ngân hàng của các công ty conGiảm tiền gửi của Ngân hàng tại các công ty conGiảm tiền vay của Ngân hàng tại các công ty con,685.028(3.905.772)(85.347),,
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Tăng tiền gửi tại Ngân hàng của các công ty liên doanhTăng tiền gửi của Ngân hàng tại các công ty liên doanhGiảm tiền vay từ Ngân hàng của các công ty liên doanh,553.409180.298(38.271),,
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Giảm tiền gửi tại Ngân hàng của các công ty liên kếtGiảm tiền vay từ Ngân hàng của các công ty liên kết,(557.938)(219.318),,
