row_label_raw,row_label_full,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộngTriệu đồng,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộngTriệu đồng
Trên 3thángTriệu đồng,Trên 3thángTriệu đồng,Trên 3thángTriệu đồng,Đến 3thángTriệu đồng,Đến 1thángTriệu đồng,Từ 1 đến 3thángTriệu đồng,Từ 3 đến 12thángTriệu đồng,Từ 1 đến 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,
-,Trên 3thángTriệu đồng > -,-,-,9.873.791,-,-,-,-,9.873.791,,9873791.0,,,,,9873791.0
-,Trên 3thángTriệu đồng > -,-,-,47.600.066,-,-,-,-,47.600.066,,47600066.0,,,,,47600066.0
146,Trên 3thángTriệu đồng > 146,146,-,66.047.223,28.247.273,5.907.829,8.080.956,720.141,109.003.568,,66047223.0,28247273.0,5907829.0,8080956.0,720141.0,109003568.0
-,Trên 3thángTriệu đồng > -,-,-,-,-,104.331,-,-,104.331,,,,104331.0,,,104331.0
-,Trên 3thángTriệu đồng > -,-,-,72.720,-,-,-,-,72.720,,72720.0,,,,,72720.0
12.487.552,Trên 3thángTriệu đồng > 12.487.552,12.487.552,2.392.592,82.675.765,189.592.042,312.791.125,108.313.809,247.203.362,955.456.247,2392592.0,82675765.0,189592042.0,312791125.0,108313809.0,247203362.0,955456247.0
257.000,Trên 3thángTriệu đồng > 257.000,257.000,-,725.485,2.585.690,21.135.401,54.117.631,60.180.385,139.001.592,,725485.0,2585690.0,21135401.0,54117631.0,60180385.0,139001592.0
-,Trên 3thángTriệu đồng > -,-,-,-,-,-,-,8.197.634,8.197.634,,,,,,8197634.0,8197634.0
-,Trên 3thángTriệu đồng > -,-,-,-,-,-,-,9.708.805,9.708.805,,,,,,9708805.0,9708805.0
399.370,Trên 3thángTriệu đồng > 399.370,399.370,-,1.119.644,2.035.365,9.618.968,6.356.040,-,19.529.387,,1119644.0,2035365.0,9618968.0,6356040.0,,19529387.0
13.144.068,Trên 3thángTriệu đồng > 13.144.068,13.144.068,2.392.592,208.114.694,222.460.370,349.557.654,176.868.436,326.010.327,1.298.548.141,2392592.0,208114694.0,222460370.0,349557654.0,176868436.0,326010327.0,1298548141.0
-,Trên 3thángTriệu đồng > -,-,-,99.354.997,13.304.906,46.306.257,16.912.807,290.776,176.169.743,,99354997.0,13304906.0,46306257.0,16912807.0,290776.0,176169743.0
-,Trên 3thángTriệu đồng > -,-,-,343.672.719,184.108.754,417.320.361,27.154.670,101.201,972.357.705,,343672719.0,184108754.0,417320361.0,27154670.0,101201.0,972357705.0
-,Trên 3thángTriệu đồng > -,-,-,30.531,70.529,499.968,2.991.061,8.704.107,12.296.196,,30531.0,70529.0,499968.0,2991061.0,8704107.0,12296196.0
-,Trên 3thángTriệu đồng > -,-,-,1.829.335,1.211.650,6.343.038,9.047.278,21.360.060,39.791.361,,1829335.0,1211650.0,6343038.0,9047278.0,21360060.0,39791361.0
-,Trên 3thángTriệu đồng > -,-,-,5.521.036,5.355.089,13.175.786,3.950.525,-,28.002.436,,5521036.0,5355089.0,13175786.0,3950525.0,,28002436.0
-,Trên 3thángTriệu đồng > -,-,-,450.408.618,204.050.928,483.645.410,60.056.341,30.456.144,1.228.617.441,,450408618.0,204050928.0,483645410.0,60056341.0,30456144.0,1228617441.0
13.144.068,Trên 3thángTriệu đồng > 13.144.068,13.144.068,2.392.592,(242.293.924),18.409.442,(134.087.756),116.812.095,295.554.183,69.930.700,2392592.0,-242293924.0,18409442.0,-134087756.0,116812095.0,295554183.0,69930700.0
