row_label_raw,row_label_full,Tên công ty,Giấy phép hoạt động,Lĩnh vực kinh doanh,Tỷ lệ vốn cổ phần và quyền biểu quyết,Tỷ lệ vốn cổ phần và quyền biểu quyết_1,numeric__Giấy phép hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ vốn cổ phần và quyền biểu quyết,numeric__Tỷ lệ vốn cổ phần và quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Giấy phép hoạt động,Lĩnh vực kinh doanh,31.12.2017,31.12.2016,,,31122017.0,31122016.0
"Công ty TNHH Chứng khoán ACB (""ACBS"")","Công ty TNHH Chứng khoán ACB (""ACBS"")","Công ty TNHH Chứng khoán ACB (""ACBS"")",06/GPHĐKD 18/GPĐC-UBCK,Chứng khoán,100%,100%,,,1.0,1.0
"Công ty TNHH Quản lý nợ và Khai thác tài sản Ngân hàng Á Châu (""ACBA"")","Công ty TNHH Quản lý nợ và Khai thác tài sản Ngân hàng Á Châu (""ACBA"")","Công ty TNHH Quản lý nợ và Khai thác tài sản Ngân hàng Á Châu (""ACBA"")",0303539425,Quản lý nợ,100%,100%,303539425.0,,1.0,1.0
"Công ty TNHH Một thành viên Cho thuê Tài chính Ngân hàng Á Châu (""ACBL"")","Công ty TNHH Một thành viên Cho thuê Tài chính Ngân hàng Á Châu (""ACBL"")","Công ty TNHH Một thành viên Cho thuê Tài chính Ngân hàng Á Châu (""ACBL"")",06/GP-NHNN 41/UBCK-GP 30/GPĐC-UBCK,Cho thuê tài chính,100%,100%,,,1.0,1.0
"Công ty TNHH Một thành viên Quản lý Quỹ ACB (""ACBC"") (*)","Công ty TNHH Một thành viên Quản lý Quỹ ACB (""ACBC"") (*)","Công ty TNHH Một thành viên Quản lý Quỹ ACB (""ACBC"") (*)",06/GP-NHNN 41/UBCK-GP 30/GPĐC-UBCK,Quản lý quỹ,100%,100%,,,1.0,1.0
