row_label_raw,row_label_full,Tài sản,Tài sản_1,Tài sản_2,Tài sản_3,Tài sản_4,Tài sản_5,Tài sản_6,Tài sản_7,Tài sản_8,Tài sản_9,numeric__Tài sản_1,numeric__Tài sản_2,numeric__Tài sản_3,numeric__Tài sản_4,numeric__Tài sản_5,numeric__Tài sản_6,numeric__Tài sản_7,numeric__Tài sản_8,numeric__Tài sản_9
"Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",2.730.719,728.887,43.075,16.867,3.650,8.759,4.905,4.486,3.541.348,2730719.0,728887.0,43075.0,16867.0,3650.0,8759.0,4905.0,4486.0,3541348.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,4.343.739,775.567,-,-,-,-,-,-,5.119.306,4343739.0,775567.0,,,,,,,5119306.0
Tiền gửi tại và cho vay các TCTD khác (i),Tiền gửi tại và cho vay các TCTD khác (i),Tiền gửi tại và cho vay các TCTD khác (i),6.402.277,2.039.768,-,102.013,153.043,18.111,8.520,42.129,8.765.861,6402277.0,2039768.0,,102013.0,153043.0,18111.0,8520.0,42129.0,8765861.0
Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),720.577,-,-,-,-,-,-,-,720.577,720577.0,,,,,,,,720577.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,455.154,(424.975),-,-,-,(3.241),(10.873),-,16.065,455154.0,-424975.0,,,,-3241.0,-10873.0,,16065.0
Cho vay khách hàng (i),Cho vay khách hàng (i),Cho vay khách hàng (i),152.190.444,8.560.671,275.893,2.230,-,-,-,-,161.029.238,152190444.0,8560671.0,275893.0,2230.0,,,,,161029238.0
Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),45.614.508,-,-,-,-,-,-,-,45.614.508,45614508.0,,,,,,,,45614508.0
"Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",2.340.737,-,-,-,-,-,-,-,2.340.737,2340737.0,,,,,,,,2340737.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,2.769.593,-,-,-,-,-,-,-,2.769.593,2769593.0,,,,,,,,2769593.0
Tài sản Có khác (i),Tài sản Có khác (i),Tài sản Có khác (i),8.349.862,202.261,3.151,3,-,-,9,-,8.555.286,8349862.0,202261.0,3151.0,3.0,,,9.0,,8555286.0
