row_label_raw,row_label_full,col_0,Mức độ rủi ro tín dụng tối đa,Mức độ rủi ro tín dụng tối đa_1,numeric__Mức độ rủi ro tín dụng tối đa,numeric__Mức độ rủi ro tín dụng tối đa_1
,,,31.12.2017Triệu VND,31.12.2016Triệu VND,,
Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,,
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,8.314.574,5.119.306,8314574.0,5119306.0
Tiền gửi và cho vay các TCTD khác,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,9.449.617,8.765.861,9449617.0,8765861.0
Chứng khoán kinh doanh - chứng khoán nợ,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Chứng khoán kinh doanh - chứng khoán nợ,Chứng khoán kinh doanh - chứng khoán nợ,1.036.829,720.577,1036829.0,720577.0
Cho vay khách hàng,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Cho vay khách hàng,Cho vay khách hàng,195.506.443,161.029.238,195506443.0,161029238.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,16.065,,16065.0
"Chứng khoán đầu tư, trong đó:","Chứng khoán đầu tư, trong đó:","Chứng khoán đầu tư, trong đó:","Chứng khoán đầu tư, trong đó:","Chứng khoán đầu tư, trong đó:",,
- Chứng khoán nợ - đầu tư sẵn sàng để bán,"Chứng khoán đầu tư, trong đó: > - Chứng khoán nợ - đầu tư sẵn sàng để bán",- Chứng khoán nợ - đầu tư sẵn sàng để bán,7.261.983,10.087.522,7261983.0,10087522.0
- Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,"Chứng khoán đầu tư, trong đó: > - Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn",- Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,45.111.109,34.775.806,45111109.0,34775806.0
Các tài sản tài chính khác,"Chứng khoán đầu tư, trong đó: > Các tài sản tài chính khác",Các tài sản tài chính khác,8.276.954,7.413.678,8276954.0,7413678.0
,,,274.957.509,227.928.053,274957509.0,227928053.0
Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,,
Các cam kết tín dụng,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng: > Các cam kết tín dụng,Các cam kết tín dụng,10.316.910,10.057.434,10316910.0,10057434.0
