row_label_raw,row_label_full,col_0,31 tháng 12 năm 2016 > Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),31 tháng 12 năm 2016 > Tổng giá trị ghi sở kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2016),31 tháng 12 năm 2016 > Tổng giá trị ghi sở kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2016)_1,numeric__31 tháng 12 năm 2016 > Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),numeric__31 tháng 12 năm 2016 > Tổng giá trị ghi sở kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2016),numeric__31 tháng 12 năm 2016 > Tổng giá trị ghi sở kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2016)_1
,,,Triệu VND,Tài sản Triệu VND,Công nợ Triệu VND,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,
- Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > - Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,281.513,-,128,281513.0,,128.0
- Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > - Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,4.929.851,16.193,-,4929851.0,16193.0,
- Mua Quyền chọn tiền tệ,- Mua Quyền chọn tiền tệ,- Mua Quyền chọn tiền tệ,- Mua Quyền chọn tiền tệ,- Mua Quyền chọn tiền tệ,- Mua Quyền chọn tiền tệ,,,
▪ Mua Quyền chọn mua,- Mua Quyền chọn tiền tệ > ▪ Mua Quyền chọn mua,▪ Mua Quyền chọn mua,631.574,28.986,-,631574.0,28986.0,
▪ Mua Quyền chọn bán,- Mua Quyền chọn tiền tệ > ▪ Mua Quyền chọn bán,▪ Mua Quyền chọn bán,443.180,-,33.075,443180.0,,33075.0
- Bán Quyền chọn tiền tệ,- Bán Quyền chọn tiền tệ,- Bán Quyền chọn tiền tệ,- Bán Quyền chọn tiền tệ,- Bán Quyền chọn tiền tệ,- Bán Quyền chọn tiền tệ,,,
▪ Bán Quyền chọn mua,- Bán Quyền chọn tiền tệ > ▪ Bán Quyền chọn mua,▪ Bán Quyền chọn mua,689.721,-,2.382,689721.0,,2382.0
▪ Bán Quyền chọn bán,- Bán Quyền chọn tiền tệ > ▪ Bán Quyền chọn bán,▪ Bán Quyền chọn bán,450.818,15.563,-,450818.0,15563.0,
