row_label_raw,row_label_full,Tên công ty,Giấy phép hoạt động,Lĩnh vực kinh doanh,Tỷ lệ vốn cổ phần,Tỷ lệ vốn cổ phần_1,numeric__Giấy phép hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ vốn cổ phần,numeric__Tỷ lệ vốn cổ phần_1
Tên công ty,Tên công ty,Tên công ty,Giấy phép hoạt động,Lĩnh vực kinh doanh,31.12.2017,31.12.2016,,,31122017.0,31122016.0
"Công ty Cổ phần Sài Gòn Kim hoàn ACB-SJC (""ACB-SJC"")","Công ty Cổ phần Sài Gòn Kim hoàn ACB-SJC (""ACB-SJC"")","Công ty Cổ phần Sài Gòn Kim hoàn ACB-SJC (""ACB-SJC"")",0303831067,Sản xuất và kinh doanh kim hoàn,10%,10%,303831067.0,,0.1,0.1
