row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016_1,Ngày 31 tháng 12 năm 2016_2,Ngày 31 tháng 12 năm 2016_3,Ngày 31 tháng 12 năm 2016_4,Ngày 31 tháng 12 năm 2016_5,Ngày 31 tháng 12 năm 2016_6,Ngày 31 tháng 12 năm 2016_7,Ngày 31 tháng 12 năm 2016_8,Ngày 31 tháng 12 năm 2016_9,numeric__Ngày 31 tháng 12 năm 2016_1,numeric__Ngày 31 tháng 12 năm 2016_2,numeric__Ngày 31 tháng 12 năm 2016_3,numeric__Ngày 31 tháng 12 năm 2016_4,numeric__Ngày 31 tháng 12 năm 2016_5,numeric__Ngày 31 tháng 12 năm 2016_6,numeric__Ngày 31 tháng 12 năm 2016_7,numeric__Ngày 31 tháng 12 năm 2016_8,numeric__Ngày 31 tháng 12 năm 2016_9
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,3.541.348,-,-,-,-,-,-,3.541.348,,3541348.0,,,,,,,3541348.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,5.119.306,-,-,-,-,-,-,5.119.306,,5119306.0,,,,,,,5119306.0
Tiền gửi tại và cho vay các TCTD khác (i),Tài sản > Tiền gửi tại và cho vay các TCTD khác (i),Tiền gửi tại và cho vay các TCTD khác (i),525.000,-,4.968.373,2.281.043,939.445,-,-,52.000,8.765.861,525000.0,,4968373.0,2281043.0,939445.0,,,52000.0,8765861.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,-,-,-,-,-,720.577,-,720.577,,,,,,,720577.0,,720577.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,16.065,-,-,-,-,-,-,16.065,,16065.0,,,,,,,16065.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),3.172.922,2.000,1.541.470,144.152.964,7.233.372,4.112.860,737.021,76.629,161.029.238,3172922.0,2000.0,1541470.0,144152964.0,7233372.0,4112860.0,737021.0,76629.0,161029238.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,2.189.459,-,-,529.984,-,33.995.090,8.899.975,45.614.508,,2189459.0,,,529984.0,,33995090.0,8899975.0,45614508.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,2.340.737,-,-,-,-,-,-,2.340.737,,2340737.0,,,,,,,2340737.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,2.769.593,-,-,-,-,-,-,2.769.593,,2769593.0,,,,,,,2769593.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),1.090.343,5.741.454,-,-,-,1.723.489,-,-,8.555.286,1090343.0,5741454.0,,,,1723489.0,,,8555286.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.788.265,21.719.962,6.509.843,146.434.007,8.702.801,5.836.349,35.452.688,9.028.604,238.472.519,4788265.0,21719962.0,6509843.0,146434007.0,8702801.0,5836349.0,35452688.0,9028604.0,238472519.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,1.405.554,471.590,376.703,-,-,-,2.253.847,,,1405554.0,471590.0,376703.0,,,,2253847.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,63.743,39.288.844,81.905.158,31.305.210,25.322.358,29.461.660,40,207.347.013,,63743.0,39288844.0,81905158.0,31305210.0,25322358.0,29461660.0,40.0,207347013.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,91.953,-,-,-,30.744,122.697,,,,91953.0,,,,30744.0,122697.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,3.054.000,-,3.000.000,6.054.000,,,,,,3054000.0,,3000000.0,6054000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.521.648,-,-,-,-,-,-,3.521.648,,3521648.0,,,,,,,3521648.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,3.585.391,40.694.398,82.468.701,31.681.913,28.376.358,29.461.660,3.030.784,219.299.205,,3585391.0,40694398.0,82468701.0,31681913.0,28376358.0,29461660.0,3030784.0,219299205.0
Mức chênh nhạy cảm với lãi suất - nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất - nội bảng,Mức chênh nhạy cảm với lãi suất - nội bảng,4.788.265,18.134.571,(34.184.555),63.965.306,(22.979.112),(22.540.009),5.991.028,5.997.820,19.173.314,4788265.0,18134571.0,-34184555.0,63965306.0,-22979112.0,-22540009.0,5991028.0,5997820.0,19173314.0
Mức chênh nhạy cảm với lãi suất - ngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất - ngoại bảng,Mức chênh nhạy cảm với lãi suất - ngoại bảng,-,(10.057.434),-,-,-,-,-,-,(10.057.434),,-10057434.0,,,,,,,-10057434.0
Tổng mức chênh nhạy cảm với lãi suất,Nợ phải trả > Tổng mức chênh nhạy cảm với lãi suất,Tổng mức chênh nhạy cảm với lãi suất,4.788.265,8.077.137,(34.184.555),63.965.306,(22.979.112),(22.540.009),5.991.028,5.997.820,9.115.880,4788265.0,8077137.0,-34184555.0,63965306.0,-22979112.0,-22540009.0,5991028.0,5997820.0,9115880.0
