row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2017 Triệu VND,Tại ngày > 31.12.2016 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2017 Triệu VND,numeric__Tại ngày > 31.12.2016 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,14,15.380.066,2.253.847,,14.0,15380066.0,2253847.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,12.156.574,1.754.097,,,12156574.0,1754097.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,3.223.492,499.750,,,3223492.0,499750.0
III,B > III,III,Tiền gửi của khách hàng,15,241.617.508,207.347.013,,15.0,241617508.0,207347013.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,10.491,-,,8.0,10491.0,
V,B > V,V,"Vốn tài trợ, uỷ thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",16,136.466,122.697,,16.0,136466.0,122697.0
VI,B > VI,VI,Phát hành giấy tờ có giá,17,6.054.000,6.054.000,,17.0,6054000.0,6054000.0
VII,B > VII,VII,Các khoản nợ khác,,4.498.909,3.521.648,,,4498909.0,3521648.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.809.752,2.275.898,,,2809752.0,2275898.0
3,B > 3,3,Các khoản phải trả và công nợ khác,18,1.689.157,1.245.750,,18.0,1689157.0,1245750.0
,,,TỔNG NỘ PHẢI TRẢ,,267.697.440,219.299.205,,,267697440.0,219299205.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,,15.699.742,13.760.691,,,15699742.0,13760691.0
1,B > 1,1,Vốn của tổ chức tín dụng,19,9.607.514,8.711.240,,19.0,9607514.0,8711240.0
a,B > a,a,Vốn điều lệ,,10.273.239,9.376.965,,,10273239.0,9376965.0
d,B > d,d,Cổ phiếu quỹ,,(665.725),(665.725),,,-665725.0,-665725.0
2,B > 2,2,Quỹ của tổ chức tín dụng,19.1,2.600.746,2.287.388,,191.0,2600746.0,2287388.0
5,B > 5,5,Lợi nhuận chưa phân phối,19.1,3.491.482,2.762.063,,191.0,3491482.0,2762063.0
a,B > a,a,Lợi nhuận năm nay,,1.775.693,1.111.794,,,1775693.0,1111794.0
b,B > b,b,Lợi nhuận lũy kế năm trước,,1.715.789,1.650.269,,,1715789.0,1650269.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,15.699.742,13.760.691,,,15699742.0,13760691.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,283.397.182,233.059.896,,,283397182.0,233059896.0
