row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Vay ngân hàng ngắn hạn(Thuyết minh số 19.1),Vay ngắn hạn > Vay ngân hàng ngắn hạn(Thuyết minh số 19.1),Vay ngân hàng ngắn hạn(Thuyết minh số 19.1),-,1.142.710,-,1.142.710,,1142710.0,,1142710.0
Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 19.1),Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 19.1),Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 19.1),43.615.336.633,43.615.336.639,(43.615.336.633),43.615.336.639,43615336633.0,43615336639.0,-43615336633.0,43615336639.0
Vay đổi tượng khác dài hạn đến hạn trả(Thuyết minh số 19.2),Vay ngắn hạn > Vay đổi tượng khác dài hạn đến hạn trả(Thuyết minh số 19.2),Vay đổi tượng khác dài hạn đến hạn trả(Thuyết minh số 19.2),36.995.495.834,3.464.023.000,(36.995.495.834),3.464.023.000,36995495834.0,3464023000.0,-36995495834.0,3464023000.0
Vay các bên liên quan dài hạn đến hạn trả(Thuyết minh số 29),Vay ngắn hạn > Vay các bên liên quan dài hạn đến hạn trả(Thuyết minh số 29),Vay các bên liên quan dài hạn đến hạn trả(Thuyết minh số 29),176.465.000.000,493.000.000.000,(182.465.000.000),487.000.000.000,176465000000.0,493000000000.0,-182465000000.0,487000000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,257.075.832.467,540.080.502.349,(263.075.832.467),534.080.502.349,257075832467.0,540080502349.0,-263075832467.0,534080502349.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Vay ngân hàng (Thuyết minh số 19.1),Vay dài hạn > Vay ngân hàng (Thuyết minh số 19.1),Vay ngân hàng (Thuyết minh số 19.1),43.615.336.639,-,(43.615.336.639),-,43615336639.0,,-43615336639.0,
Vay đổi tượng khác (Thuyết minh số 19.2),Vay dài hạn > Vay đổi tượng khác (Thuyết minh số 19.2),Vay đổi tượng khác (Thuyết minh số 19.2),50.234.033.000,13.148.529.000,(3.464.023.000),59.918.539.000,50234033000.0,13148529000.0,-3464023000.0,59918539000.0
Vay các bên liên quan (Thuyết minh số 29),Vay dài hạn > Vay các bên liên quan (Thuyết minh số 29),Vay các bên liên quan (Thuyết minh số 29),553.000.000.000,1.242.465.000.000,(861.000.000.000),934.465.000.000,553000000000.0,1242465000000.0,-861000000000.0,934465000000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,646.849.369.639,1.255.613.529.000,(908.079.359.639),994.383.539.000,646849369639.0,1255613529000.0,-908079359639.0,994383539000.0
