row_label_raw,row_label_full,Tên đơn vị > Công ty Agrita – Quảng Nam,Ngày 31 tháng 12 năm 2025 > Giá trị ghi số > 1.190.305.295.099,Ngày 31 tháng 12 năm 2025 > Giá trị hợp lý > (*),Ngày 31 tháng 12 năm 2024 > Giá trị ghi số > 1.190.305.295.099,Ngày 31 tháng 12 năm 2024 > Giá trị hợp lý > (*),numeric__Ngày 31 tháng 12 năm 2025 > Giá trị ghi số > 1.190.305.295.099,numeric__Ngày 31 tháng 12 năm 2025 > Giá trị hợp lý > (*),numeric__Ngày 31 tháng 12 năm 2024 > Giá trị ghi số > 1.190.305.295.099,numeric__Ngày 31 tháng 12 năm 2024 > Giá trị hợp lý > (*)
Công ty Năng lượng Hà Đô,Công ty Năng lượng Hà Đô,Công ty Năng lượng Hà Đô,1.124.600.000.000,(*),1.124.600.000.000,(*),1124600000000.0,,1124600000000.0,
Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty Bình An Riverside,628.299.000.000,(*),628.299.000.000,(*),628299000000.0,,628299000000.0,
Công ty Minh Long (i),Công ty Minh Long (i),Công ty Minh Long (i),730.313.139.435,(*),417.218.779.435,(*),730313139435.0,,417218779435.0,
Công ty Za Hưng,Công ty Za Hưng,Công ty Za Hưng,371.629.000.000,(*),371.629.000.000,(*),371629000000.0,,371629000000.0,
Công ty Quốc tế Hà Đô (ii),Công ty Quốc tế Hà Đô (ii),Công ty Quốc tế Hà Đô (ii),372.910.202.832,(*),367.428.647.832,(*),372910202832.0,,367428647832.0,
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,283.500.000.000,(*),283.500.000.000,(*),283500000000.0,,283500000000.0,
Công ty Thiết bị Giáo dục 1 (iii),Công ty Thiết bị Giáo dục 1 (iii),Công ty Thiết bị Giáo dục 1 (iii),1.140.018.982.322,(*),263.568.312.322,(*),1140018982322.0,,263568312322.0,
Công ty Khánh Hà,Công ty Khánh Hà,Công ty Khánh Hà,196.842.885.000,(*),196.842.885.000,(*),196842885000.0,,196842885000.0,
Công ty Sông Tranh 4,Công ty Sông Tranh 4,Công ty Sông Tranh 4,157.994.654.400,(*),157.994.654.400,(*),157994654400.0,,157994654400.0,
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,7.365.043.169,(*),7.365.043.169,(*),7365043169.0,,7365043169.0,
Công ty QL&KD Hà Đô,Công ty QL&KD Hà Đô,Công ty QL&KD Hà Đô,19.998.000.000,(*),19.998.000.000,(*),19998000000.0,,19998000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,6.223.776.202.257,,5.028.749.617.257,,6223776202257.0,,5028749617257.0,
Dự phòng đầu tư vào công ty con,Dự phòng đầu tư vào công ty con,Dự phòng đầu tư vào công ty con,17.978.457.921,,16.301.017.353,,17978457921.0,,16301017353.0,
