row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc vàquyền sử dụng đất",Bất động sản đầutư khác (*),Tổng cộng,"numeric__Nhà cửa,vật kiến trúc vàquyền sử dụng đất",numeric__Bất động sản đầutư khác (*),numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,572.944.206.600,185.250.272.310,758.194.478.910,572944206600.0,185250272310.0,758194478910.0
- Phân loại từ hàng tồn kho,Nguyên giá: > - Phân loại từ hàng tồn kho,- Phân loại từ hàng tồn kho,87.887.550.659,-,87.887.550.659,87887550659.0,,87887550659.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,660.831.757.259,185.250.272.310,846.082.029.569,660831757259.0,185250272310.0,846082029569.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,3.135.792.727,50.527.260.581,53.663.053.308,3135792727.0,50527260581.0,53663053308.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,150.796.676.716,75.663.117.743,226.459.794.459,150796676716.0,75663117743.0,226459794459.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,23.574.805.385,3.203.821.956,26.778.627.341,23574805385.0,3203821956.0,26778627341.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,174.371.482.101,78.866.939.699,253.238.421.800,174371482101.0,78866939699.0,253238421800.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,422.147.529.884,109.587.154.567,531.734.684.451,422147529884.0,109587154567.0,531734684451.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,486.460.275.158,106.383.332.611,592.843.607.769,486460275158.0,106383332611.0,592843607769.0
