row_label_raw,row_label_full,Bên liên quan > Phải trả ngắn hạn khác (Thuyết minh số 18),Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 18),Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 18),Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 18),Đơn vị tính: VND > Phải trả ngắn hạn khác (Thuyết minh số 18),numeric__Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 18),numeric__Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 18),numeric__Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 18),numeric__Đơn vị tính: VND > Phải trả ngắn hạn khác (Thuyết minh số 18)
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Phải trả khác,391.413.147,391.413.147,,,391413147.0,391413147.0
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Phải trả dòng tiền quản lý tập trung,13.370.149.882,12.318.470.157,,,13370149882.0,12318470157.0
Công ty Za Hưng,Công ty Za Hưng,Công ty Za Hưng,Công ty con,Phải trả dòng tiền quản lý tập trung,84.935.257.694,,,,84935257694.0,
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Phải trả dòng tiền quản lý tập trung,46.530.780.243,135.384.168.290,,,46530780243.0,135384168290.0
Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty con,Phải trả dòng tiền quản lý tập trung,113.745.968.166,21.099.774.000,,,113745968166.0,21099774000.0
Công ty Sông Tranh 4,Công ty Sông Tranh 4,Công ty Sông Tranh 4,Công ty con,Phải trả dòng tiền quản lý tập trung,145.794.502.781,34.416.189.488,,,145794502781.0,34416189488.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Tạm ứng,34.000.000.000,34.000.000.000,,,34000000000.0,34000000000.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Phải trả dòng tiền quản lý tập trung,5.357.532.202,608.256.422,,,5357532202.0,608256422.0
Công ty Quản lý và Kinh doanh Hà Đô,Công ty Quản lý và Kinh doanh Hà Đô,Công ty Quản lý và Kinh doanh Hà Đô,Công ty con,Phải trả dòng tiền quản lý tập trung,4.862.931.895,3.401.433.273,,,4862931895.0,3401433273.0
Công ty Năng lượng Hà Đô,Công ty Năng lượng Hà Đô,Công ty Năng lượng Hà Đô,Công ty con,Phải trả khác,92.082.000.000,61.182.000.000,,,92082000000.0,61182000000.0
Công ty Năng lượng Hà Đô,Công ty Năng lượng Hà Đô,Công ty Năng lượng Hà Đô,Công ty con,Phải trả dòng tiền quản lý tập trung,4.706.168,304.489,,,4706168.0,304489.0
Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty con,Phải trả dòng tiền quản lý tập trung,39.899.042.412,29.694.146.783,,,39899042412.0,29694146783.0
Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty con,Phải trả dòng tiền quản lý tập trung,995.814.109,690.211.557,,,995814109.0,690211557.0
Công ty Minh Long,Công ty Minh Long,Công ty Minh Long,Công ty con,Phải trả dòng tiền quản lý tập trung,315.911.787.016,-,,,315911787016.0,
Các công ty con khác,Các công ty con khác,Các công ty con khác,Công ty con,Phải trả khác,229.228.368,226.183.834,,,229228368.0,226183834.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,898.111.114.083,365.349.361.017,,,898111114083.0,365349361017.0
