row_label_raw,row_label_full,col_0,Kinh doanhbất động sản,Kinh doanhdịch vụ khách sạn,Hoạt động xây lắp,Hoạt động chothuê và các hoạtđộng khác,Điều chỉnhvà loại trừ,Đơn vị tính: VNDTổng cộng,numeric__Kinh doanhbất động sản,numeric__Kinh doanhdịch vụ khách sạn,numeric__Hoạt động xây lắp,numeric__Hoạt động chothuê và các hoạtđộng khác,numeric__Điều chỉnhvà loại trừ,numeric__Đơn vị tính: VNDTổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
Doanh thu từ bán hàng rabên ngoài,Doanh thu > Doanh thu từ bán hàng rabên ngoài,Doanh thu từ bán hàng rabên ngoài,357.733.253.353,127.869.623.691,12.850.196.134,157.339.725.006,-,655.792.798.184,357733253353.0,127869623691.0,12850196134.0,157339725006.0,,655792798184.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,357.733.253.353,127.869.623.691,12.850.196.134,157.339.725.006,-,655.792.798.184,357733253353.0,127869623691.0,12850196134.0,157339725006.0,,655792798184.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,
Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,Kết quả > Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,103.475.730.556,64.450.983.719,871.602.196,98.574.467.685,-,267.372.784.156,103475730556.0,64450983719.0,871602196.0,98574467685.0,,267372784156.0
Thu nhập/(chi phí) khôngphân bổ (i),Kết quả > Thu nhập/(chi phí) khôngphân bổ (i),Thu nhập/(chi phí) khôngphân bổ (i),,,,,,236.080.519.189,,,,,,236080519189.0
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,403.799.515.631,,,,,,403799515631.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,(49.990.399.959),,,,,,-49990399959.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,353.809.115.672,,,,,,353809115672.0
Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,,,,,,
Tài sản bộ phận,Tải sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,724.151.807.092,231.132.988.028,15.163.315.648,504.548.526.983,-,1.474.996.637.751,724151807092.0,231132988028.0,15163315648.0,504548526983.0,,1474996637751.0
Tài sản không phân bổ (ii),Tải sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,6.392.938.552.538,6.392.938.552.538,,,,,6392938552538.0,6392938552538.0
Tổng tài sản,Tải sản và công nợ > Tổng tài sản,Tổng tài sản,724.151.807.092,231.132.988.028,15.163.315.648,504.548.526.983,6.392.938.552.538,7.867.935.190.289,724151807092.0,231132988028.0,15163315648.0,504548526983.0,6392938552538.0,7867935190289.0
Công nợ bộ phận,Tải sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,701.702.036.067,10.744.091.455,12.420.841.392,143.437.631.564,-,868.304.600.478,701702036067.0,10744091455.0,12420841392.0,143437631564.0,,868304600478.0
Công nợ không phân bổ (iii),Tải sản và công nợ > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),,,,,,1.386.917.074.582,,,,,,1386917074582.0
Tổng công nợ,Tải sản và công nợ > Tổng công nợ,Tổng công nợ,701.702.036.067,10.744.091.455,12.420.841.392,143.437.631.564,-,2.255.221.675.060,701702036067.0,10744091455.0,12420841392.0,143437631564.0,,2255221675060.0
