row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 1.573.080.516,Số phải nộp/cántrừ trong năm > 38.164.016.337,Số đã nộp trongnăm > (35.128.761.520),Đơn vị tính: VND > Số cuối năm > 4.608.335.333,numeric__Số đầu năm > 1.573.080.516,numeric__Số phải nộp/cántrừ trong năm > 38.164.016.337,numeric__Số đã nộp trongnăm > (35.128.761.520),numeric__Đơn vị tính: VND > Số cuối năm > 4.608.335.333
Thuế TNDN,Thuế TNDN,Thuế TNDN,17.574.306.917,-,(17.574.306.917),-,17574306917.0,,-17574306917.0,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,541.577.645,6.572.395.484,(6.463.307.986),650.665.143,541577645.0,6572395484.0,-6463307986.0,650665143.0
Tiền sử dụng đất,Tiền sử dụng đất,Tiền sử dụng đất,-,133.353.375.677,(133.353.375.677),-,,133353375677.0,-133353375677.0,
Thuế và phí khác,Thuế và phí khác,Thuế và phí khác,35.781.794,3.250.643.326,(3.209.195.688),77.229.432,35781794.0,3250643326.0,-3209195688.0,77229432.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,19.724.746.872,181.340.430.824,(195.728.947.788),5.336.229.908,19724746872.0,181340430824.0,-195728947788.0,5336229908.0
