row_label_raw,row_label_full,col_0,729.465.000.000,numeric__729.465.000.000
Trong đó:,Trong đó:,Trong đó:,Trong đó:,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,553.000.000.000,553000000000.0
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,176.465.000.000,176465000000.0
