row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1)
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Phải thu phí tư vấn,3.257.675.102,1.469.951.102,,,3257675102.0,1469951102.0
Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty con,Phải thu phí quản lý,5.245.055.854,5.245.055.854,,,5245055854.0,5245055854.0
Công ty Quốc tế Hà Đô,Công ty Quốc tế Hà Đô,Công ty Quốc tế Hà Đô,Công ty con,Phải thu phí quản lý,5.447.390.528,5.447.390.528,,,5447390528.0,5447390528.0
Công ty Za Hưng,Công ty Za Hưng,Công ty Za Hưng,Công ty con,Phải thu phí quản lý,2.063.489.037,1.744.732.500,,,2063489037.0,1744732500.0
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Phải thu phí quản lý,2.064.484.073,2.064.484.073,,,2064484073.0,2064484073.0
Các công ty con khác,Các công ty con khác,Các công ty con khác,Công ty con,Phải thu phí quản lý,3.023.027.371,1.284.077.850,,,3023027371.0,1284077850.0
Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Người có mối quan hệ gia đình mật thiết với thành viên HĐQT,Phải thu tiền mua bất động sản,643.142.000,643.142.000,,,643142000.0,643142000.0
Ông Lê Xuân Long,Ông Lê Xuân Long,Ông Lê Xuân Long,Chủ tịch HĐQT,Phải thu tiền mua bất động sản,769.417.000,769.417.000,,,769417000.0,769417000.0
Bà Hoàng Thị Phương Điều,Bà Hoàng Thị Phương Điều,Bà Hoàng Thị Phương Điều,Người có mối quan hệ gia đình mật thiết với thành viên HĐQT,Phải thu tiền mua bất động sản,617.896.000,617.896.000,,,617896000.0,617896000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,23.131.576.965,19.286.146.907,,,23131576965.0,19286146907.0
