row_label_raw,row_label_full,Bên cho vay > Ngân hàng Shinhan – Chi nhánhTrần Duy Hưng,Số cuối năm(VND) > 43.615.336.639,Kỳ hạn trả gốc và lãi > Gốc vay thanh toán trả 3 tháng/lần với lần thanh toán cuối cùng là ngày 7 tháng 10 năm 2026. Lãi vay trả hàng tháng,Lãi suất > Lãi suất tham chiếu cộng biên độ 1.92%/năm. Lãi suất trong năm là 7.5%/năm,Hình thứcđảm bảo > (i),numeric__Số cuối năm(VND) > 43.615.336.639,numeric__Kỳ hạn trả gốc và lãi > Gốc vay thanh toán trả 3 tháng/lần với lần thanh toán cuối cùng là ngày 7 tháng 10 năm 2026. Lãi vay trả hàng tháng,numeric__Lãi suất > Lãi suất tham chiếu cộng biên độ 1.92%/năm. Lãi suất trong năm là 7.5%/năm,numeric__Hình thứcđảm bảo > (i)
Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,43.615.336.639,,,,43615336639.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,43.615.336.639,,,,43615336639.0,,,
