row_label_raw,row_label_full,col_0,col_1,Năm nay,Đơn vị tính: VND > Năm trước,numeric__col_1,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,,,
,,,Số đầu năm,3.363.315.290.000,3.057.568.410.000,,3363315290000.0,3057568410000.0
,,,Trả cổ tức bằng cổ phiếu,336.315.060.000,305.746.880.000,,336315060000.0,305746880000.0
,,,Số cuối năm,3.699.630.350.000,3.363.315.290.000,,3699630350000.0,3363315290000.0
Cổ tức đã chia,Vốn đã góp của chủ sở hữu > Cổ tức đã chia,Cổ tức đã chia,Cổ tức đã chia,336.315.060.000,458.625.300.500,,336315060000.0,458625300500.0
21.4,21.4,21.4,Cổ tức,,Đơn vị tính: VND,,,
,,,,Năm nay,Năm trước,,,
Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,,,
,,,Cổ tức trên cổ phiếu phổ thông,336.315.060.000,458.625.300.500,,336315060000.0,458625300500.0
,,,Cổ tức trả bằng tiền: 500 VND/cổ phiếu,-,152.878.420.500,,,152878420500.0
,,,Cổ tức trả bằng cổ phiếu:33.631.506 cổ phiếu/3.363.331.529 cổphiếu hiện hữu (năm trước: 30.574.688cổ phiếu/305.756.841 cổ phiếu hiện hữu),336.315.060.000,305.746.880.000,,336315060000.0,305746880000.0
Cổ tức đã công bố sau ngày kết thúc kỳ kếtoán và chưa được ghi nhận là nợ phải tràvào ngày 31 tháng 12 năm 2025,Cổ tức đã công bố sau ngày kết thúc kỳ kếtoán và chưa được ghi nhận là nợ phải tràvào ngày 31 tháng 12 năm 2025,Cổ tức đã công bố sau ngày kết thúc kỳ kếtoán và chưa được ghi nhận là nợ phải tràvào ngày 31 tháng 12 năm 2025,Cổ tức đã công bố sau ngày kết thúc kỳ kếtoán và chưa được ghi nhận là nợ phải tràvào ngày 31 tháng 12 năm 2025,Cổ tức đã công bố sau ngày kết thúc kỳ kếtoán và chưa được ghi nhận là nợ phải tràvào ngày 31 tháng 12 năm 2025,Cổ tức đã công bố sau ngày kết thúc kỳ kếtoán và chưa được ghi nhận là nợ phải tràvào ngày 31 tháng 12 năm 2025,,,
,,,Cổ tức trên cổ phiếu phổ thông,184.981.517.500,-,,184981517500.0,
