row_label_raw,row_label_full,col_0,Kinh doanhbắt động sản,Kinh doanhdịch vụ khách sạn,Hoạt động cho thuêvà các hoạt động khác,Điều chỉnh và loạitrừ,Đơn vị tính: VND,numeric__Kinh doanhbắt động sản,numeric__Kinh doanhdịch vụ khách sạn,numeric__Hoạt động cho thuêvà các hoạt động khác,numeric__Điều chỉnh và loạitrừ,numeric__Đơn vị tính: VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ bán hàng rabên ngoài,Doanh thu > Doanh thu từ bán hàng rabên ngoài,Doanh thu từ bán hàng rabên ngoài,25.803.553.384,151.981.332.282,158.012.827.672,-,335.797.713.338,25803553384.0,151981332282.0,158012827672.0,,335797713338.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,25.803.553.384,151.981.332.282,158.012.827.672,-,335.797.713.338,25803553384.0,151981332282.0,158012827672.0,,335797713338.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận gộp trước thuế củabố phận,Kết quả > Lợi nhuận gộp trước thuế củabố phận,Lợi nhuận gộp trước thuế củabố phận,(49.993.892.107),86.250.204.337,29.242.338.784,-,65.498.651.014,-49993892107.0,86250204337.0,29242338784.0,,65498651014.0
Thu nhập/(chi phí) khôngphân bổ (i),Kết quả > Thu nhập/(chi phí) khôngphân bổ (i),Thu nhập/(chi phí) khôngphân bổ (i),,,,,384.786.842.938,,,,,384786842938.0
Lợi nhuận trước thuếChi phí thuế TNDN,Kết quả > Lợi nhuận trước thuếChi phí thuế TNDN,Lợi nhuận trước thuếChi phí thuế TNDN,,,,,319.664.502.968,,,,,319664502968.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,(165.727.160),,,,,-165727160.0
,,,,,,,319.498.775.808,,,,,319498775808.0
Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,,,,,
Tải sản bộ phận,Tải sản và công nợ > Tải sản bộ phận,Tải sản bộ phận,887.185.999.313,222.697.655.888,564.338.478.588,-,1.674.222.133.789,887185999313.0,222697655888.0,564338478588.0,,1674222133789.0
Tải sản không phân bổ (ii),Tải sản và công nợ > Tải sản không phân bổ (ii),Tải sản không phân bổ (ii),,,,7.670.891.164.271,7.670.891.164.271,,,,7670891164271.0,7670891164271.0
Tổng tài sản,Tải sản và công nợ > Tổng tài sản,Tổng tài sản,887.185.999.313,222.697.655.888,564.338.478.588,7.670.891.164.271,9.345.113.298.060,887185999313.0,222697655888.0,564338478588.0,7670891164271.0,9345113298060.0
Công nợ bộ phận,Tải sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,804.397.359.395,15.111.333.721,74.849.017.341,-,894.357.710.457,804397359395.0,15111333721.0,74849017341.0,,894357710457.0
Công nợ không phân bổ (iii),Tải sản và công nợ > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),,,,,2.518.543.296.566,,,,,2518543296566.0
Tổng công nợ,Tải sản và công nợ > Tổng công nợ,Tổng công nợ,804.397.359.395,15.111.333.721,74.849.017.341,-,3.412.901.007.023,804397359395.0,15111333721.0,74849017341.0,,3412901007023.0
