row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2016 VND,1/1/2016 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016 VND,numeric__1/1/2016 VND
Tài sản dài hạn(200 = 210 + 220 + 230 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 230 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 230 + 250 + 260),200,,11.505.634.424.585,8.903.656.426.880,200.0,,11505634424585.0,8903656426880.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,148.004.000.000,272.004.000.000,210.0,,148004000000.0,272004000000.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,7.2,148.000.000.000,272.000.000.000,215.0,72.0,148000000000.0,272000000000.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,,4.000.000,4.000.000,216.0,,4000000.0,4000000.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,58.029.076.301,48.485.035.169,220.0,,58029076301.0,48485035169.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,9,28.629.473.357,19.609.625.364,221.0,9.0,28629473357.0,19609625364.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,63.963.126.004,50.017.001.242,222.0,,63963126004.0,50017001242.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(35.333.652.647),(30.407.375.878),223.0,,-35333652647.0,-30407375878.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,10,29.399.602.944,28.875.409.805,227.0,10.0,29399602944.0,28875409805.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,31.773.096.640,31.110.496.640,228.0,,31773096640.0,31110496640.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(2.373.493.696),(2.235.086.835),229.0,,-2373493696.0,-2235086835.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,11,226.571.903.611,240.923.131.255,230.0,11.0,226571903611.0,240923131255.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,291.858.675.266,291.858.675.266,231.0,,291858675266.0,291858675266.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(65.286.771.655),(50.935.544.011),232.0,,-65286771655.0,-50935544011.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,5.2,11.071.287.679.806,8.336.643.654.496,250.0,52.0,11071287679806.0,8336643654496.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,,11.158.244.026.533,8.534.660.542.633,251.0,,11158244026533.0,8534660542633.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,252,,5.730.000.000,5.730.000.000,252.0,,5730000000.0,5730000000.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,,700.000.000,700.000.000,253.0,,700000000.0,700000000.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,,(93.386.346.727),(204.446.888.137),254.0,,-93386346727.0,-204446888137.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,1.741.764.867,5.600.605.960,260.0,,1741764867.0,5600605960.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,12,1.741.764.867,5.600.605.960,261.0,12.0,1741764867.0,5600605960.0
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,14.184.011.283.206,9.631.228.863.998,270.0,,14184011283206.0,9631228863998.0
